"",BBEX3.A.RWF.USD.CA.AC.A04,BBEX3.A.RWF.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Rwanda  / USD 1 = RWF ... (middle),
unit,RWF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:09,
1990,83.6765500,comment
1991,125.4017417,
1992,134.0010833,comment
1993,144.1906208,
1994,140.3043917,
1995,266.1059708,comment
1996,306.7883292,
1997,302.7817542,
1998,314.8818375,
1999,336.7698917,
2000,393.2312667,
2001,443.7363042,
2002,477.9252375,
2003,540.9081750,
2004,576.7213168,
2005,557.5190003,
2006,551.7154291,
2007,546.9071979,
2008,547.1509374,
2009,568.5162500,
2010,583.4762515,
2011,600.4406508,
2012,614.8192058,
2013,647.2971942,
2014,682.8761301,
"","Source: Banque Nationale du Rwanda, Kigali",
"","Methodology: Until 2004, calculated on the basis of month-end buying and selling rates, from 2005 on the basis of mid-month and month-end buying and selling rates.",
"","Comment on 1990: On 12 November 1990, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 November 1990: USD 1 = RWF 70.6043 / 72.0307  12 November 1990: USD 1 = RWF 117.5109 / 119.8849 Calculated devaluation: 39.9%.",
"","Comment on 1992: On 10 June 1992, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 June 1992: USD 1 = RWF 120.7553 / 123.1949  10 June 1992: USD 1 = RWF 141.7068 / 144.5696 Calculated devaluation: 14.8%.",
"","Comment on 1995: On 6 March 1995, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  3 March 1995: USD 1 = RWF 133.2411 / 135.9329  6 March 1995: USD 1 = RWF 230,2600 / 233,7400  Calculated devaluation: 42.0%.",
