"",BBK01.OEBO04J,BBK01.OEBO04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:18,
2002-01,-0.023,
2002-04,-0.112,
2002-07,-0.019,
2002-10,-0.006,
2003-01,-0.015,
2003-04,-0.016,
2003-07,0.006,
2003-10,-0.026,
2004-01,-0.040,
2004-04,-0.024,
2004-07,0.032,
2004-10,0.002,
2005-01,-0.016,
2005-04,-0.002,
2005-07,-0.028,
2005-10,-0.022,
2006-01,-0.007,
2006-04,-0.003,
2006-07,-0.011,
2006-10,-0.006,
2007-01,0.043,
2007-04,0.012,
2007-07,0.002,
2007-10,0.010,
2008-01,0.004,
2008-04,0.006,
2008-07,-0.020,
2008-10,0.093,
2009-01,0.015,
2009-04,0.030,
2009-07,0.132,
2009-10,-0.084,
2010-01,-0.049,
2010-04,-0.013,
2010-07,-0.014,
2010-10,0.045,
2011-01,0.028,
2011-04,-0.022,
2011-07,-0.016,
2011-10,-0.007,
2012-01,0.045,
2012-04,-0.036,
2012-07,-0.039,
2012-10,-0.036,
2013-01,-0.105,
2013-04,-0.037,
2013-07,-0.029,
2013-10,-0.004,
2014-01,-0.023,
2014-04,-0.022,
2014-07,0.025,
