"",BBEX3.M.CDF.USD.CA.AC.A01,BBEX3.M.CDF.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Democratic Republic of the Congo * / USD 1 = CDF ... (middle),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:41,
1998-06,1.40000,
1998-07,1.46500,
1998-08,1.52500,
1998-09,1.77500,
1998-10,2.45000,
1998-11,2.45000,
1998-12,2.45000,
1999-01,2.45000,
1999-02,2.95000,
1999-03,2.95000,
1999-04,4.61000,comment
1999-05,4.61000,
1999-06,4.61000,
1999-07,4.61000,
1999-08,4.61000,
1999-09,4.61000,
1999-10,4.61000,
1999-11,4.61000,
1999-12,4.61000,
2000-01,9.00000,comment
2000-02,9.00000,
2000-03,9.00000,
2000-04,9.00000,
2000-05,9.00000,
2000-06,24.73690,comment
2000-07,23.50000,
2000-08,23.50000,
2000-09,23.50000,
2000-10,50.00000,comment
2000-11,50.00000,
2000-12,50.00000,
2001-01,50.00000,
2001-02,50.00000,
2001-03,50.00000,
2001-04,50.00000,
2001-05,349.30000,comment
2001-06,303.50000,
2001-07,233.81000,
2001-08,300.67500,
2001-09,314.16330,
2001-10,315.39200,
2001-11,322.38000,
2001-12,308.50000,
2002-01,337.00000,
2002-02,339.53000,
2002-03,327.43000,
2002-04,310.31000,
2002-05,326.43000,
2002-06,332.47000,
2002-07,339.00000,
2002-08,348.10000,
2002-09,361.69000,
2002-10,385.87000,
2002-11,393.93000,
2002-12,384.00500,
2003-01,416.94000,
2003-02,410.94000,
2003-03,413.93140,
2003-04,412.93000,
2003-05,416.42000,
2003-06,422.90000,
2003-07,426.89000,
2003-08,414.93000,
2003-09,354.08000,
2003-10,374.00000,
2003-11,368.05000,
2003-12,372.03000,
2004-01,376.03000,
2004-02,381.00000,
2004-03,382.00000,
2004-04,381.61460,
2004-05,384.59660,
2004-06,385.43720,
2004-07,384.59500,
2004-08,392.60000,
2004-09,424.57000,
2004-10,414.58000,
2004-11,431.56420,
2004-12,446.54910,
2005-01,462.53290,
2005-02,481.51380,
2005-03,498.00000,
2005-04,511.98000,
2005-05,502.74420,
2005-06,425.63010,
2005-07,492.73000,
2005-08,469.52590,
2005-09,460.53490,
2005-10,456.95630,
2005-11,449.31000,
2005-12,434.24000,
2006-01,432.90000,
2006-02,433.93940,
2006-03,438.73000,
2006-04,439.43000,
2006-05,444.42000,
2006-06,450.09000,
2006-07,461.32870,
2006-08,470.45000,
2006-09,475.00000,
2006-10,510.00000,
2006-11,530.00000,
2006-12,505.00000,
2007-01,532.00000,
2007-02,545.00000,
2007-03,550.00000,
2007-04,540.00000,
2007-05,510.00000,
2007-06,488.00000,
2007-07,488.00000,
2007-08,489.00000,
2007-09,490.00000,
2007-10,490.00000,
2007-11,495.00000,
2007-12,505.00000,
2008-01,538.00000,
2008-02,543.00000,
2008-03,553.00000,
2008-04,560.18320,
2008-05,550.00000,
2008-06,551.00000,
2008-07,555.00000,
2008-08,556.00000,
2008-09,560.00000,
