"",BBK01.CEB00X,BBK01.CEB00X_FLAGS
"",Financial assets debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:21,
1991-01,56.2,
1991-04,57.7,
1991-07,55.4,
1991-10,165.1,
1992-01,60.9,
1992-04,61.1,
1992-07,57.0,
1992-10,178.1,
1993-01,70.0,
1993-04,208.0,
1993-07,220.5,
1993-10,240.9,
1994-01,252.8,
1994-04,256.9,
1994-07,262.9,
1994-10,262.2,
1995-01,267.0,
1995-04,277.5,
1995-07,290.7,
1995-10,300.9,
1996-01,331.8,
1996-04,348.2,
1996-07,360.6,
1996-10,379.8,
1997-01,434.1,
1997-04,470.2,
1997-07,487.5,
1997-10,504.3,
1998-01,585.2,
1998-04,624.9,
1998-07,592.9,
1998-10,633.6,
1999-01,680.8,
1999-04,746.2,
1999-07,732.7,
1999-10,843.7,
2000-01,925.1,
2000-04,942.5,
2000-07,953.4,
2000-10,925.6,
2001-01,945.8,
2001-04,958.0,
2001-07,873.1,
2001-10,924.1,
2002-01,940.1,
2002-04,886.1,
2002-07,861.6,
2002-10,858.1,
2003-01,876.3,
2003-04,941.0,
2003-07,960.7,
2003-10,960.1,
2004-01,1005.7,
2004-04,999.7,
2004-07,1002.2,
2004-10,996.6,
2005-01,1053.5,
2005-04,1086.6,
2005-07,1151.4,
2005-10,1142.6,
2006-01,1243.5,
2006-04,1248.6,
2006-07,1296.9,
2006-10,1285.5,
2007-01,1349.6,
2007-04,1376.5,
2007-07,1333.7,
2007-10,1321.2,
2008-01,1356.1,
2008-04,1349.8,
2008-07,1351.0,
2008-10,1312.0,
2009-01,1347.8,
2009-04,1402.0,
2009-07,1450.9,
2009-10,1508.7,
2010-01,1549.1,
2010-04,1629.7,
2010-07,1675.8,
2010-10,1702.7,
2011-01,1710.3,
2011-04,1766.2,
2011-07,1785.1,
2011-10,1738.6,
2012-01,1811.3,
2012-04,1844.8,
2012-07,1910.9,
2012-10,1904.5,
2013-01,2000.9,
2013-04,2056.6,
2013-07,1840.7,
2013-10,1867.9,
2014-01,1948.4,
