"",BBK01.OEBJ06H,BBK01.OEBJ06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:37,
2002-01,0.047,
2002-04,0.049,
2002-07,0.046,
2002-10,0.040,
2003-01,0.040,
2003-04,0.047,
2003-07,0.045,
2003-10,0.051,
2004-01,0.048,
2004-04,0.049,
2004-07,0.037,
2004-10,0.031,
2005-01,0.032,
2005-04,0.027,
2005-07,0.027,
2005-10,0.027,
2006-01,0.025,
2006-04,0.018,
2006-07,0.019,
2006-10,0.019,
2007-01,0.022,
2007-04,0.022,
2007-07,0.021,
2007-10,0.020,
2008-01,0.019,
2008-04,0.013,
2008-07,0.013,
2008-10,0.015,
2009-01,0.021,
2009-04,0.019,
2009-07,0.018,
2009-10,0.020,
2010-01,0.022,
2010-04,0.023,
2010-07,0.025,
2010-10,0.024,
2011-01,0.027,
2011-04,0.036,
2011-07,0.041,
2011-10,0.042,
2012-01,0.052,
2012-04,0.049,
2012-07,0.049,
2012-10,0.052,
2013-01,0.057,
2013-04,0.059,
2013-07,0.058,
2013-10,0.058,
2014-01,0.050,
2014-04,0.052,
2014-07,0.052,
