"",BBFN1.M.DE.N.1.A.MO.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MO.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:50,
2006-03,0.013,
2006-04,0.013,
2006-05,0.014,
2006-06,0.018,
2006-07,0.018,
2006-08,0.016,
2006-09,0.017,
2006-10,0.011,
2006-11,0.011,
2006-12,0.013,
2007-01,0.018,
2007-02,0.010,
2007-03,0.010,
2007-04,0.011,
2007-05,0.013,
2007-06,0.015,
2007-07,0.017,
2007-08,0.008,
2007-09,0.009,
2007-10,0.008,
2007-11,0.009,
2007-12,0.007,
2008-01,0.018,
2008-02,0.017,
2008-03,0.016,
2008-04,0.012,
2008-05,0.010,
2008-06,0.085,
2008-07,0.090,
2008-08,0.012,
2008-09,0.015,
2008-10,0.013,
2008-11,0.019,
2008-12,0.030,
2009-01,0.023,
2009-02,0.022,
2009-03,0.013,
2009-04,0.014,
2009-05,0.018,
2009-06,0.013,
2009-07,0.012,
2009-08,0.012,
2009-09,0.013,
2009-10,0.014,
2009-11,0.014,
2009-12,0.013,
2010-01,0.019,
2010-02,0.016,
2010-03,0.013,
2010-04,0.014,
2010-05,0.019,
2010-06,0.053,
2010-07,0.015,
2010-08,0.012,
2010-09,0.012,
2010-10,0.017,
2010-11,0.019,
2010-12,0.020,
2011-01,0.103,
2011-02,0.095,
2011-03,0.098,
2011-04,0.103,
2011-05,0.101,
2011-06,0.104,
2011-07,0.144,
2011-08,0.096,
2011-09,0.106,
2011-10,0.100,
2011-11,0.096,
2011-12,0.095,
2012-01,0.094,
2012-02,0.094,
2012-03,0.044,
2012-04,0.011,
2012-05,0.013,
2012-06,0.056,
2012-07,0.017,
2012-08,0.015,
2012-09,0.016,
2012-10,0.014,
2012-11,0.016,
2012-12,0.028,
2013-01,0.029,
2013-02,0.086,
2013-03,0.065,
2013-04,0.051,
2013-05,0.055,
2013-06,0.206,
2013-07,0.213,
2013-08,0.266,
2013-09,0.261,
2013-10,0.263,
2013-11,0.264,
2013-12,0.263,
2014-01,0.262,
2014-02,0.267,
2014-03,0.269,
2014-04,0.311,
2014-05,0.314,
2014-06,0.315,
2014-07,0.317,
2014-08,0.320,
2014-09,0.321,
2014-10,0.321,
2014-11,0.321,
2014-12,0.322,
