"",BBEX3.A.BMD.USD.CA.AB.A04,BBEX3.A.BMD.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Bermuda / USD 1 = BMD ... (selling),
unit,BMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:02,
1975,1.0043,
1976,1.0043,
1977,1.0043,
1978,1.0043,
1979,1.0043,
1980,1.0043,
1981,1.0043,
1982,1.0043,
1983,1.0043,
1984,1.0043,
1985,1.0043,
1986,1.0043,
1987,1.0043,
1988,1.0043,
1989,1.0043,
1990,1.0043,
1991,1.0043,
1992,1.0043,
1993,1.0043,
1994,1.0043,
1995,1.0043,
1996,1.0043,
1997,1.0043,
1998,1.0043,
1999,1.0043,
2000,1.0043,
2001,1.0043,
2002,1.0043,
2003,1.0043,
2004,1.0043,
2005,1.0043,
2006,1.0043,
2007,1.0043,
2008,1.0043,
2009,1.0043,
2010,1.0043,
2011,1.0043,
2012,1.0043,
2013,1.0043,
2014,1.0043,
"",General: Fixed exchange rate to the US dollar.,
"","Source: Since October 1988: Bermuda Commercial Bank Limited, Hamilton.Until September 1988: Bermuda Monetary Authority, Hamilton.",
