"",BBK01.PQK359,BBK01.PQK359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:07,
1968-10,0.034,
1969-01,0.034,
1969-04,0.032,
1969-07,0.035,
1969-10,0.048,
1970-01,0.046,
1970-04,0.042,
1970-07,0.048,
1970-10,0.053,
1971-01,0.049,
1971-04,0.052,
1971-07,0.060,
1971-10,0.062,
1972-01,0.048,
1972-04,0.049,
1972-07,0.052,
1972-10,0.069,
1973-01,0.073,
1973-04,0.071,
1973-07,0.070,
1973-10,0.108,
1974-01,0.107,
1974-04,0.111,
1974-07,0.119,
1974-10,0.134,
1975-01,0.115,
1975-04,0.106,
1975-07,0.106,
1975-10,0.089,
1976-01,0.086,
1976-04,0.088,
1976-07,0.103,
1976-10,0.100,
1977-01,0.096,
1977-04,0.112,
1977-07,0.106,
1977-10,0.111,
1978-01,0.106,
1978-04,0.114,
1978-07,0.129,
1978-10,0.135,
1979-01,0.138,
1979-04,0.132,
1979-07,0.158,
1979-10,0.180,
1980-01,0.148,
1980-04,0.167,
1980-07,0.162,
1980-10,0.225,
1981-01,0.223,
1981-04,0.241,
1981-07,0.237,
1981-10,0.303,
1982-01,0.296,
1982-04,0.311,
1982-07,0.330,
1982-10,0.342,
1983-01,0.357,
1983-04,0.376,
1983-07,0.395,
1983-10,0.429,
1984-01,0.422,
1984-04,0.466,
1984-07,0.487,
1984-10,0.500,
1985-01,0.488,
1985-04,0.502,
1985-07,0.493,
1985-10,0.564,
1986-01,0.562,
1986-04,0.533,
1986-07,0.517,
1986-10,0.509,
1987-01,0.504,
1987-04,0.494,
1987-07,0.498,
1987-10,0.497,
1988-01,0.469,
1988-04,0.457,
1988-07,0.472,
1988-10,0.440,
1989-01,0.431,
1989-04,0.432,
1989-07,0.421,
1989-10,0.417,
1990-01,0.425,
1990-04,0.405,
1990-07,0.369,
1990-10,0.248,
1991-01,0.243,
1991-04,0.215,
1991-07,0.214,
1991-10,0.224,
1992-01,0.203,
1992-04,0.184,
1992-07,0.186,
1992-10,0.219,
1993-01,0.418,
1993-04,0.319,
1993-07,0.369,
1993-10,0.261,
1994-01,0.138,
1994-04,0.160,
1994-07,0.149,
1994-10,0.170,
1995-01,0.146,
1995-04,0.154,
1995-07,0.155,
1995-10,0.179,
1996-01,0.138,
1996-04,0.107,
1996-07,0.101,
1996-10,0.098,
1997-01,0.092,
1997-04,0.092,
1997-07,0.087,
1997-10,0.092,
1998-01,0.072,
1998-04,0.079,
1998-07,0.106,
1998-10,0.119,
1999-01,0.127,
1999-04,0.323,
1999-07,0.652,
1999-10,0.736,
2000-01,0.744,
2000-04,0.689,
2000-07,0.709,
2000-10,0.809,
2001-01,0.683,
2001-04,0.703,
2001-07,0.763,
2001-10,0.716,
2002-01,0.508,
2002-04,0.352,
2002-07,0.432,
2002-10,0.639,
2003-01,0.433,
2003-04,0.149,
2003-07,0.171,
2003-10,0.249,
2004-01,0.186,
2004-04,0.166,
2004-07,0.170,
2004-10,0.152,
2005-01,0.108,
2005-04,0.105,
2005-07,0.139,
2005-10,0.132,
2006-01,0.076,
2006-04,0.039,
2006-07,0.046,
2006-10,0.046,
2007-01,0.072,
2007-04,0.131,
2007-07,0.069,
2007-10,0.079,
2008-01,0.268,
2008-04,0.300,
2008-07,0.289,
2008-10,0.320,
2009-01,0.241,
2009-04,0.255,
2009-07,0.291,
2009-10,0.042,
2010-01,0.038,
2010-04,0.052,
2010-07,0.049,
2010-10,0.054,
2011-01,0.054,
2011-04,0.047,
2011-07,0.052,
2011-10,0.063,
2012-01,0.065,
2012-04,0.057,
2012-07,0.070,
2012-10,0.085,
2013-01,0.090,
2013-04,0.085,
2013-07,0.070,
2013-10,0.090,
2014-01,0.097,
2014-04,0.082,
2014-07,0.065,
2014-10,0.074,
