"",BBK01.OEHB16H,BBK01.OEHB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:15,
2002-01,21.827,
2002-04,21.797,
2002-07,21.776,
2002-10,21.740,
2003-01,21.574,
2003-04,21.533,
2003-07,21.500,
2003-10,21.501,
2004-01,21.365,
2004-04,21.439,
2004-07,21.434,
2004-10,21.366,
2005-01,21.168,
2005-04,21.146,
2005-07,21.215,
2005-10,21.347,
2006-01,21.246,
2006-04,21.359,
2006-07,21.578,
2006-10,21.641,
2007-01,21.604,
2007-04,21.762,
2007-07,22.095,
2007-10,22.118,
2008-01,22.041,
2008-04,22.155,
2008-07,22.151,
2008-10,22.005,
2009-01,21.617,
2009-04,21.648,
2009-07,21.819,
2009-10,21.873,
2010-01,21.843,
2010-04,22.223,
2010-07,22.441,
2010-10,22.591,
2011-01,22.508,
2011-04,22.557,
2011-07,22.670,
2011-10,22.841,
2012-01,22.801,
2012-04,22.990,
2012-07,23.151,
2012-10,23.250,
2013-01,23.204,
2013-04,23.284,
2013-07,23.373,
2013-10,23.349,
2014-01,23.330,
2014-04,23.454,
2014-07,23.592,
