"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:27,
1991-01,-5.413,
1991-04,23.751,
1991-07,16.480,
1991-10,-12.944,
1992-01,47.595,
1992-04,72.107,
1992-07,85.229,
1992-10,76.311,
1993-01,94.266,
1993-04,156.798,
1993-07,143.235,
1993-10,117.042,
1994-01,119.681,
1994-04,127.981,
1994-07,181.678,
1994-10,33.711,
1995-01,34.731,
1995-04,66.148,
1995-07,74.564,
1995-10,59.658,
1996-01,287.375,
1996-04,290.113,
1996-07,291.219,
1996-10,267.783,
1997-01,-351.760,
1997-04,-345.643,
1997-07,-344.075,
1997-10,-361.349,
1998-01,-391.671,
1998-04,-252.485,
1998-07,-55.927,
1998-10,-284.907,
1999-01,-391.932,
1999-04,-134.758,
1999-07,68.288,
1999-10,48.823,
2000-01,350.466,
2000-04,402.832,
2000-07,509.677,
2000-10,319.996,
2001-01,-375.034,
2001-04,-676.503,
2001-07,-369.467,
2001-10,-422.432,
2002-01,-71.465,
2002-04,-192.039,
2002-07,55.538,
2002-10,-356.160,
2003-01,-19.122,
2003-04,-194.131,
2003-07,143.762,
2003-10,73.026,
2004-01,1704.381,
2004-04,1405.498,
2004-07,1150.196,
2004-10,1852.530,
2005-01,499.938,
2005-04,898.919,
2005-07,312.977,
2005-10,482.508,
2006-01,1072.032,
2006-04,971.714,
2006-07,463.409,
2006-10,900.604,
2007-01,2952.525,
2007-04,2334.586,
2007-07,1768.145,
2007-10,238.193,
2008-01,525.618,
2008-04,-355.857,
2008-07,-969.104,
2008-10,-49.613,
2009-01,886.166,
2009-04,380.857,
2009-07,729.085,
2009-10,847.860,
2010-01,2294.538,
2010-04,685.794,
2010-07,1925.158,
2010-10,1774.452,
2011-01,2453.797,
2011-04,1255.451,
2011-07,1772.390,
2011-10,1428.997,
2012-01,2730.528,
2012-04,71.157,
2012-07,1088.606,
2012-10,1931.390,
2013-01,4247.551,
2013-04,1353.180,
2013-07,1776.420,
2013-10,3896.850,
2014-01,4023.660,Provisional value
2014-04,1525.463,Provisional value
2014-07,2119.009,Provisional value
2014-10,3664.120,Provisional value
