"",BBSF2.M.1.S.I1251.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:54,
2009-09,338,
2009-10,169,
2009-11,367,
2009-12,456,
2010-01,120,
2010-02,240,
2010-03,894,
2010-04,320,
2010-05,460,
2010-06,193,
2010-07,161,
2010-08,773,
2010-09,498,
2010-10,379,
2010-11,553,
2010-12,222,
2011-01,157,
2011-02,94,
2011-03,257,
2011-04,92,
2011-05,317,
2011-06,229,
2011-07,70,
2011-08,307,
2011-09,263,
2011-10,14,
2011-11,2523,
2011-12,602,
2012-01,66,
2012-02,18,
2012-03,76,
2012-04,530,
2012-05,145,
2012-06,1012,
2012-07,193,
2012-08,343,
2012-09,141,
2012-10,309,
2012-11,950,
2012-12,2024,
2013-01,132,
2013-02,235,
2013-03,14,
2013-04,242,
2013-05,734,
2013-06,780,
2013-07,338,
2013-08,128,
2013-09,534,
2013-10,19,
2013-11,314,
2013-12,477,
2014-01,124,
2014-02,448,
2014-03,361,
2014-04,409,
2014-05,424,
2014-06,247,
2014-07,105,
2014-08,339,
2014-09,338,
2014-10,529,
2014-11,640,
