"",BBK01.OEAH75J,BBK01.OEAH75J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:21,
2002-01,0.200,
2002-04,0.205,
2002-07,0.192,
2002-10,0.196,
2003-01,0.198,
2003-04,0.195,
2003-07,0.188,
2003-10,0.243,
2004-01,0.279,
2004-04,0.284,
2004-07,0.384,
2004-10,0.389,
2005-01,0.399,
2005-04,0.438,
2005-07,0.447,
2005-10,0.514,
2006-01,0.490,
2006-04,0.490,
2006-07,0.512,
2006-10,0.487,
2007-01,0.474,
2007-04,0.480,
2007-07,0.459,
2007-10,0.441,
2008-01,0.437,
2008-04,0.524,
2008-07,0.513,
2008-10,0.425,
2009-01,0.435,
2009-04,0.428,
2009-07,0.451,
2009-10,0.441,
2010-01,0.432,
2010-04,0.414,
2010-07,0.413,
2010-10,0.432,
2011-01,0.461,
2011-04,0.504,
2011-07,0.518,
2011-10,0.545,
2012-01,0.659,
2012-04,0.656,
2012-07,0.644,
2012-10,0.684,
2013-01,0.688,
2013-04,0.619,
2013-07,0.529,
2013-10,0.526,
2014-01,0.500,
2014-04,0.486,
2014-07,0.473,
