"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / General government / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:08,
1991-01,89.504,
1991-02,-247.447,
1991-03,273.585,
1991-04,-4.075,
1991-05,-24.001,
1991-06,37.333,
1991-07,15.364,
1991-08,8.210,
1991-09,-60.326,
1991-10,-118.612,
1991-11,-103.268,
1991-12,61.363,
1992-01,-45.496,
1992-02,151.873,
1992-03,74.656,
1992-04,66.984,
1992-05,6.136,
1992-06,-17.372,
1992-07,-12.268,
1992-08,-99.186,
1992-09,-41.456,
1992-10,109.937,
1992-11,52.153,
1992-12,218.841,
1993-01,249.514,
1993-02,-12.782,
1993-03,-51.129,
1993-04,-135.492,
1993-05,177.930,
1993-06,-121.176,
1993-07,-52.663,
1993-08,122.710,
1993-09,193.170,
1993-10,-169.071,
1993-11,-46.016,
1993-12,266.383,
1994-01,-105.326,
1994-02,-109.397,
1994-03,78.228,
1994-04,-5.620,
1994-05,13.294,
1994-06,328.249,
1994-07,-26.587,
1994-08,164.636,
1994-09,52.663,
1994-10,-144.183,
1994-11,380.401,
1994-12,446.876,
1995-01,141.628,
1995-02,637.453,
1995-03,-1146.554,
1995-04,344.540,
1995-05,-459.002,
1995-06,136.959,
1995-07,-110.648,
1995-08,103.309,
1995-09,-122.974,
1995-10,157.226,
1995-11,-322.594,
1995-12,381.138,
1996-01,-514.478,
1996-02,95.011,
1996-03,2.151,
1996-04,344.409,
1996-05,-287.286,
1996-06,420.925,
1996-07,-329.797,
1996-08,324.503,
1996-09,-519.487,
1996-10,84.277,
1996-11,534.106,
1996-12,-423.801,
1997-01,274.421,
1997-02,102.904,
1997-03,8.688,
1997-04,-60.470,
1997-05,-146.229,
1997-06,98.360,
1997-07,-90.325,
1997-08,181.608,
1997-09,-225.576,
1997-10,114.813,
1997-11,-34.941,
1997-12,83.584,
1998-01,-491.524,
1998-02,496.290,
1998-03,187.643,
1998-04,548.364,
1998-05,-61.899,
1998-06,-52.232,
1998-07,-227.033,
1998-08,-135.786,
1998-09,-206.395,
1998-10,1223.946,
1998-11,-323.941,
1998-12,532.388,
1999-01,-1477.352,
1999-02,156.796,
1999-03,22.748,
1999-04,283.382,
1999-05,-582.322,
1999-06,243.921,
1999-07,-91.974,
1999-08,-264.764,
1999-09,-92.649,
1999-10,166.020,
1999-11,32.354,
1999-12,-332.833,
2000-01,215.642,
2000-02,326.447,
2000-03,-6.000,
2000-04,-84.044,
2000-05,49.823,
2000-06,-113.694,
2000-07,-185.904,
2000-08,-88.974,
2000-09,43.641,
2000-10,-263.908,
2000-11,21.131,
2000-12,-500.601,
2001-01,-5.090,
2001-02,-147.348,
2001-03,7.643,
2001-04,-17.718,
2001-05,118.545,
2001-06,-104.865,
2001-07,-6.695,
2001-08,-58.543,
2001-09,17.282,
2001-10,108.124,
2001-11,-80.181,
2001-12,4.789,
2002-01,52.668,
2002-02,118.532,
2002-03,-88.965,
2002-04,180.111,
2002-05,-39.855,
2002-06,5.262,
2002-07,-81.322,
2002-08,-56.947,
2002-09,-103.600,
2002-10,62.089,
2002-11,-8.557,
2002-12,104.543,
2003-01,65.782,
2003-02,124.318,
2003-03,-249.677,
2003-04,29.587,
2003-05,-80.613,
2003-06,34.045,
2003-07,-55.903,
2003-08,11.977,
2003-09,23.928,
2003-10,-2.422,
2003-11,-6.673,
2003-12,-14.602,
2004-01,110.681,
2004-02,28.179,
2004-03,31.158,
2004-04,37.998,
2004-05,-76.540,
2004-06,-54.600,
2004-07,10.748,
2004-08,105.813,
2004-09,116.877,
2004-10,105.338,
2004-11,168.306,
2004-12,89.032,
2005-01,143.752,
2005-02,5029.230,
2005-03,-2745.783,
2005-04,-2147.249,
2005-05,603.429,
2005-06,2919.458,
2005-07,-3634.775,
2005-08,296.101,
2005-09,-1713.600,
2005-10,-239.406,
2005-11,-99.595,
2005-12,2656.258,
2006-01,-1028.755,
2006-02,32.047,
2006-03,-555.869,
2006-04,2429.711,
2006-05,-4053.218,
2006-06,69.126,
2006-07,719.194,
2006-08,1142.262,
2006-09,1663.191,
2006-10,-750.669,
2006-11,-944.902,
2006-12,-1364.303,
2007-01,908.342,
2007-02,-433.715,
2007-03,-478.084,
2007-04,2153.806,
2007-05,316.254,
2007-06,-484.474,
2007-07,-1361.767,
2007-08,6262.504,
2007-09,-3563.821,
2007-10,-1459.398,
2007-11,3021.961,
2007-12,-4254.303,
2008-01,-903.200,
