"",BBK01.XU8846,BBK01.XU8846_FLAGS
"",Germany / Exports / Product Classification for Production Statistics from 2002 / Machines / 1 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:42,
1995-01,4384079,
1995-02,4432897,
1995-03,5175294,
1995-04,4582959,
1995-05,5232708,
1995-06,5216438,
1995-07,5024534,
1995-08,4930997,
1995-09,5136516,
1995-10,5364918,
1995-11,5843938,
1995-12,6005323,
1996-01,4983968,
1996-02,5120382,
1996-03,5422208,
1996-04,5448390,
1996-05,5499107,
1996-06,5380999,
1996-07,6215386,
1996-08,4859715,
1996-09,5313417,
1996-10,6082074,
1996-11,6093560,
1996-12,6001922,
1997-01,5113807,
1997-02,5310511,
1997-03,5630722,
1997-04,5927973,
1997-05,5725653,
1997-06,6364743,
1997-07,6704372,
1997-08,5268126,
1997-09,6279911,
1997-10,6615804,
1997-11,6628551,
1997-12,6589430,
1998-01,5777035,
1998-02,5986271,
1998-03,6854619,
1998-04,6766452,
1998-05,6316658,
1998-06,6811763,
1998-07,7266826,
1998-08,5837149,
1998-09,6257042,
1998-10,6737428,
1998-11,6614845,
1998-12,6414391,
1999-01,5717615,
1999-02,5667274,
1999-03,6823354,
1999-04,6439369,
1999-05,5873152,
1999-06,6897819,
1999-07,7012528,
1999-08,5514795,
1999-09,6259007,
1999-10,6460391,
1999-11,7208870,
1999-12,6808282,
2000-01,6290442,
2000-02,6413119,
2000-03,7456498,
2000-04,6800251,
2000-05,7601285,
2000-06,7097649,
2000-07,7646756,
2000-08,6992221,
2000-09,6919174,
2000-10,8042965,
2000-11,8041486,
2000-12,7994560,
2001-01,7246441,
2001-02,7401822,
2001-03,8178421,
2001-04,7824372,
2001-05,8030246,
2001-06,7937858,
2001-07,8405124,
2001-08,7342685,
2001-09,7332159,
2001-10,8402718,
2001-11,7961296,
2001-12,7294004,
2002-01,7362205,
2002-02,7131400,
2002-03,7628216,
2002-04,8077609,
2002-05,7286069,
2002-06,8704429,
2002-07,8437793,
2002-08,7158679,
2002-09,7908446,
2002-10,8418786,
2002-11,8489045,
2002-12,7980746,
2003-01,7627306,
2003-02,7497083,
2003-03,7579837,
2003-04,7660705,
2003-05,7913497,
2003-06,8020668,
2003-07,8423037,
2003-08,7258788,
2003-09,7937443,
2003-10,7823622,
2003-11,8129616,
2003-12,8069850,
2004-01,8153368,
2004-02,7630004,
2004-03,9088285,
2004-04,8851406,
2004-05,8928282,
2004-06,9001597,
2004-07,9314018,
2004-08,8232356,
2004-09,8712873,
2004-10,9255339,
2004-11,8989312,
2004-12,9380989,
2005-01,9286476,
2005-02,8457457,
2005-03,9391671,
2005-04,9629168,
2005-05,9236239,
2005-06,10090579,
2005-07,9764354,
2005-08,9461177,
2005-09,9686238,
2005-10,9453911,
2005-11,9606376,
2005-12,10046807,
2006-01,9711319,
2006-02,9897889,
2006-03,10660042,
2006-04,10153749,
2006-05,10490017,
2006-06,10367203,
2006-07,11042043,
2006-08,10423506,
2006-09,11510725,
2006-10,11788000,
2006-11,12562917,
2006-12,11366465,
2007-01,11223185,
2007-02,11016369,
2007-03,11989767,
2007-04,11458217,
2007-05,11652500,
2007-06,12027640,
2007-07,12212999,
2007-08,12077323,
2007-09,11686868,
2007-10,12654748,
2007-11,12586088,
2007-12,11545857,
"",General: 1 Source: Federal Statistical Office.,
