"",BBK01.OEBB10M,BBK01.OEBB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:28,
2002-01,8.104,
2002-04,7.946,
2002-07,6.821,
2002-10,6.736,
2003-01,6.993,
2003-04,6.707,
2003-07,6.156,
2003-10,5.715,
2004-01,5.932,
2004-04,6.036,
2004-07,5.669,
2004-10,5.889,
2005-01,6.097,
2005-04,5.945,
2005-07,5.811,
2005-10,5.528,
2006-01,5.934,
2006-04,5.777,
2006-07,5.715,
2006-10,5.964,
2007-01,5.719,
2007-04,6.086,
2007-07,5.776,
2007-10,6.562,
2008-01,6.978,
2008-04,6.923,
2008-07,6.728,
2008-10,7.950,
2009-01,8.227,
2009-04,7.829,
2009-07,5.989,
2009-10,5.955,
2010-01,5.933,
2010-04,5.399,
2010-07,5.445,
2010-10,5.718,
2011-01,5.843,
2011-04,5.920,
2011-07,5.829,
2011-10,5.649,
2012-01,5.830,
2012-04,5.914,
2012-07,5.759,
2012-10,5.334,
2013-01,5.610,
2013-04,5.788,
2013-07,5.746,
2013-10,5.187,
2014-01,5.186,
2014-04,5.352,
2014-07,6.096,
