"",BBK01.OEAE03M,BBK01.OEAE03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:19,
2002-01,2.107,
2002-04,2.148,
2002-07,2.065,
2002-10,2.380,
2003-01,2.703,
2003-04,2.590,
2003-07,2.604,
2003-10,2.301,
2004-01,2.377,
2004-04,2.367,
2004-07,2.418,
2004-10,2.648,
2005-01,2.582,
2005-04,2.548,
2005-07,2.483,
2005-10,2.412,
2006-01,2.880,
2006-04,2.866,
2006-07,2.737,
2006-10,2.547,
2007-01,2.901,
2007-04,2.874,
2007-07,3.334,
2007-10,3.359,
2008-01,3.874,
2008-04,3.841,
2008-07,3.904,
2008-10,3.987,
2009-01,3.939,
2009-04,3.550,
2009-07,3.429,
2009-10,3.418,
2010-01,3.599,
2010-04,3.573,
2010-07,3.527,
2010-10,3.461,
2011-01,3.467,
2011-04,3.433,
2011-07,3.461,
2011-10,3.561,
2012-01,3.494,
2012-04,3.275,
2012-07,3.434,
2012-10,3.321,
2013-01,3.348,
2013-04,3.429,
2013-07,3.660,
2013-10,3.330,
2014-01,3.365,
2014-04,3.508,
2014-07,3.204,
