"",BBK01.OEAF38T,BBK01.OEAF38T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:14,
2002-01,0.098,
2002-04,0.099,
2002-07,0.102,
2002-10,0.105,
2003-01,0.106,
2003-04,0.106,
2003-07,0.097,
2003-10,0.095,
2004-01,0.101,
2004-04,0.080,
2004-07,0.076,
2004-10,0.063,
2005-01,0.061,
2005-04,0.054,
2005-07,0.059,
2005-10,0.055,
2006-01,0.053,
2006-04,0.051,
2006-07,0.057,
2006-10,0.082,
2007-01,0.085,
2007-04,0.082,
2007-07,0.086,
2007-10,0.087,
2008-01,0.090,
2008-04,0.087,
2008-07,0.084,
2008-10,0.085,
2009-01,0.082,
2009-04,0.087,
2009-07,0.087,
2009-10,0.085,
2010-01,0.085,
2010-04,0.085,
2010-07,0.083,
2010-10,0.082,
2011-01,0.106,
2011-04,0.111,
2011-07,0.127,
2011-10,0.131,
2012-01,0.130,
2012-04,0.132,
2012-07,0.130,
2012-10,0.138,
2013-01,0.125,
2013-04,0.129,
2013-07,0.133,
2013-10,0.132,
2014-01,0.132,
2014-04,0.133,
2014-07,0.129,
