"",BBK01.OEAA30I,BBK01.OEAA30I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:18,
2002-01,0.680,
2002-04,0.661,
2002-07,0.649,
2002-10,0.628,
2003-01,0.644,
2003-04,0.574,
2003-07,0.614,
2003-10,0.545,
2004-01,0.536,
2004-04,0.537,
2004-07,0.527,
2004-10,0.496,
2005-01,0.512,
2005-04,0.513,
2005-07,0.539,
2005-10,0.518,
2006-01,0.503,
2006-04,0.519,
2006-07,0.514,
2006-10,0.509,
2007-01,0.500,
2007-04,0.488,
2007-07,0.495,
2007-10,0.504,
2008-01,0.501,
2008-04,0.514,
2008-07,0.529,
2008-10,0.514,
2009-01,0.513,
2009-04,0.530,
2009-07,0.579,
2009-10,0.568,
2010-01,0.556,
2010-04,0.575,
2010-07,0.572,
2010-10,0.587,
2011-01,0.629,
2011-04,0.623,
2011-07,0.616,
2011-10,0.613,
2012-01,0.607,
2012-04,0.646,
2012-07,0.645,
2012-10,0.636,
2013-01,0.639,
2013-04,0.640,
2013-07,0.637,
2013-10,0.643,
2014-01,0.632,
2014-04,0.604,
2014-07,0.584,
