"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Japan,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:54,
2009-09,1035,
2009-10,920,
2009-11,992,
2009-12,1050,
2010-01,1131,
2010-02,1131,
2010-03,1091,
2010-04,1065,
2010-05,1101,
2010-06,1100,
2010-07,1069,
2010-08,1118,
2010-09,1263,
2010-10,1257,
2010-11,1271,
2010-12,1254,
2011-01,1207,
2011-02,1245,
2011-03,980,
2011-04,941,
2011-05,840,
2011-06,866,
2011-07,918,
2011-08,883,
2011-09,919,
2011-10,908,
2011-11,951,
2011-12,949,
2012-01,962,
2012-02,917,
2012-03,942,
2012-04,975,
2012-05,992,
2012-06,947,
2012-07,997,
2012-08,948,
2012-09,948,
2012-10,936,
2012-11,887,
2012-12,868,
2013-01,795,
2013-02,873,
2013-03,942,
2013-04,1014,
2013-05,975,
2013-06,973,
2013-07,1040,
2013-08,1008,
2013-09,1093,
2013-10,1118,
2013-11,1023,
2013-12,1136,
2014-01,1201,
2014-02,1194,
2014-03,1205,
2014-04,1246,
2014-05,1267,
2014-06,1254,
2014-07,1270,
2014-08,1248,
2014-09,1336,
2014-10,1336,
2014-11,1411,
