"",BBFB1.Q.N.DE.E14000.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:45,
1999-01,545.689,
1999-04,659.587,
1999-07,697.326,
1999-10,685.032,
2000-01,582.266,
2000-04,719.704,
2000-07,753.042,
2000-10,745.353,
2001-01,598.726,
2001-04,700.786,
2001-07,739.044,
2001-10,718.089,
2002-01,606.323,
2002-04,751.708,
2002-07,790.701,
2002-10,735.811,
2003-01,634.294,
2003-04,790.293,
2003-07,866.194,
2003-10,766.409,
2004-01,705.385,
2004-04,871.623,
2004-07,961.062,
2004-10,860.778,
2005-01,711.072,
2005-04,902.603,
2005-07,1001.908,
2005-10,942.695,
2006-01,686.423,
2006-04,965.720,
2006-07,1021.173,
2006-10,1007.844,
2007-01,769.675,
2007-04,939.014,
2007-07,1032.839,
2007-10,974.008,
2008-01,775.580,
2008-04,970.816,
2008-07,1130.098,
2008-10,1072.316,
2009-01,744.093,
2009-04,933.316,
2009-07,1040.308,
2009-10,968.534,
2010-01,785.071,
2010-04,972.657,
2010-07,1142.735,
2010-10,1075.585,
2011-01,904.881,
2011-04,1101.424,
2011-07,1358.446,
2011-10,1307.354,
2012-01,1130.168,
2012-04,1229.461,
2012-07,1316.789,
2012-10,1370.899,
2013-01,1171.918,
2013-04,1309.800,
2013-07,1372.165,
2013-10,1399.110,
2014-01,1162.772,Provisional value
2014-04,1285.481,Provisional value
2014-07,1375.884,Provisional value
2014-10,1303.093,Provisional value
