"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F512._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F512._Z._T._X.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Unlisted shares / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:48,
1991-01,-109.306,
1991-04,-65.488,
1991-07,-776.188,
1991-10,-16.750,
1992-01,-27.808,
1992-04,-812.852,
1992-07,-232.261,
1992-10,-1030.690,
1993-01,336.145,
1993-04,130.047,
1993-07,243.686,
1993-10,-625.612,
1994-01,-151.686,
1994-04,-85.041,
1994-07,-382.589,
1994-10,354.899,
1995-01,391.722,
1995-04,-268.254,
1995-07,-462.801,
1995-10,-458.598,
1996-01,-1399.612,
1996-04,-820.675,
1996-07,-1281.985,
1996-10,-1774.481,
1997-01,-110.870,
1997-04,-1125.159,
1997-07,-219.217,
1997-10,-1704.986,
1998-01,-88.738,
1998-04,2348.197,
1998-07,-107.829,
1998-10,-2308.098,
1999-01,1701.961,
1999-04,-1386.070,
1999-07,-1455.158,
1999-10,23000.256,
2000-01,152089.015,
2000-04,-1598.340,
2000-07,2546.052,
2000-10,-147294.159,
2001-01,2623.895,
2001-04,-1037.718,
2001-07,-8760.354,
2001-10,17.856,
2002-01,2641.361,
2002-04,-586.479,
2002-07,1552.438,
2002-10,66.995,
2003-01,2213.562,
2003-04,-1490.697,
2003-07,834.365,
2003-10,4085.153,
2004-01,-792.213,
2004-04,-1286.639,
2004-07,-184.477,
2004-10,2498.546,
2005-01,2041.773,
2005-04,106.943,
2005-07,490.429,
2005-10,21223.106,
2006-01,1891.767,
2006-04,-516.033,
2006-07,-2749.030,
2006-10,2024.338,
2007-01,6759.951,
2007-04,2490.240,
2007-07,875.937,
2007-10,1901.811,
2008-01,178.256,
2008-04,-5940.427,
2008-07,-3047.274,
2008-10,-5138.176,
2009-01,755.057,
2009-04,-2770.892,
2009-07,-1100.093,
2009-10,-2779.275,
2010-01,2693.177,
2010-04,-1704.557,
2010-07,3045.782,
2010-10,1508.425,
2011-01,3104.163,
2011-04,-925.331,
2011-07,-635.932,
2011-10,896.261,
2012-01,1926.070,
2012-04,46.981,
2012-07,1965.030,
2012-10,1148.173,
2013-01,2943.800,
2013-04,-1838.652,
2013-07,804.673,
2013-10,1208.214,
2014-01,1926.437,
2014-04,816.138,
2014-07,2247.065,
