"",BBK01.WU0178,BBK01.WU0178_FLAGS
"",Shares in circulation issued by residents / Nominal value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-09 06:39:36,
1956-01,-,Nothing exists
1956-02,-,Nothing exists
1956-03,-,Nothing exists
1956-04,-,Nothing exists
1956-05,-,Nothing exists
1956-06,-,Nothing exists
1956-07,-,Nothing exists
1956-08,-,Nothing exists
1956-09,-,Nothing exists
1956-10,-,Nothing exists
1956-11,-,Nothing exists
1956-12,12858,
1957-01,12946,
1957-02,12983,
1957-03,13043,
1957-04,13064,
1957-05,13095,
1957-06,13240,
1957-07,13404,
1957-08,13598,
1957-09,13644,
1957-10,13681,
1957-11,13704,
1957-12,13727,
1958-01,13797,
1958-02,13863,
1958-03,13917,
1958-04,14009,
1958-05,14104,
1958-06,14141,
1958-07,14218,
1958-08,14237,
1958-09,14280,
1958-10,14336,
1958-11,14382,
1958-12,14243,
1959-01,14202,
1959-02,14255,
1959-03,14104,
1959-04,14119,
1959-05,14120,
1959-06,14417,
1959-07,14496,
1959-08,14544,
1959-09,14595,
1959-10,14449,
1959-11,14460,
1959-12,14241,
1960-01,14410,
1960-02,14498,
1960-03,14661,
1960-04,14771,
1960-05,14951,
1960-06,15157,
1960-07,15494,
1960-08,15925,
1960-09,16012,
1960-10,16054,
1960-11,16083,
1960-12,16209,
1961-01,16374,
1961-02,16479,
1961-03,16674,
1961-04,16769,
1961-05,16851,
1961-06,16969,
1961-07,17286,
1961-08,17495,
1961-09,17681,
1961-10,17743,
1961-11,17868,
1961-12,17935,
1962-01,18045,
1962-02,18171,
1962-03,18206,
1962-04,18322,
1962-05,18409,
1962-06,18447,
1962-07,18576,
1962-08,18641,
1962-09,18688,
1962-10,18747,
1962-11,18919,
1962-12,19051,
1963-01,19109,
1963-02,19159,
1963-03,19249,
1963-04,19250,
1963-05,19274,
1963-06,19285,
1963-07,19396,
1963-08,19590,
1963-09,19634,
1963-10,19681,
1963-11,19722,
1963-12,19771,
1964-01,19952,
1964-02,19979,
1964-03,20023,
1964-04,20208,
1964-05,20268,
1964-06,20356,
1964-07,20521,
1964-08,20716,
1964-09,20789,
1964-10,20861,
1964-11,20934,
1964-12,21028,
1965-01,21069,
1965-02,21232,
1965-03,21353,
1965-04,21402,
1965-05,21879,
1965-06,22162,
1965-07,22318,
1965-08,22614,
1965-09,22706,
1965-10,22881,
1965-11,22928,
1965-12,22939,
1966-01,23181,
1966-02,23345,
1966-03,23396,
1966-04,23509,
1966-05,23600,
1966-06,23704,
1966-07,23975,
1966-08,24060,
1966-09,24068,
1966-10,24214,
1966-11,24240,
1966-12,24289,
1967-01,24445,
1967-02,24486,
1967-03,24629,
1967-04,24667,
1967-05,24710,
1967-06,24793,
1967-07,24761,
1967-08,24826,
1967-09,24930,
1967-10,24939,
1967-11,24974,
1967-12,25122,
1968-01,25241,
1968-02,25431,
1968-03,25460,
1968-04,25469,
1968-05,25477,
1968-06,25625,
1968-07,25811,
1968-08,25691,
1968-09,25848,
1968-10,26012,
1968-11,26033,
1968-12,26173,
1969-01,26255,
1969-02,26290,
1969-03,26299,
1969-04,26368,
1969-05,26473,
1969-06,26604,
1969-07,26863,
1969-08,27054,
1969-09,27249,
1969-10,27383,
1969-11,27440,
1969-12,27526,
1970-01,27725,
1970-02,27797,
1970-03,27941,
1970-04,27920,
1970-05,27978,
1970-06,27986,
1970-07,28034,
1970-08,27984,
1970-09,27873,
1970-10,27896,
1970-11,28211,
1970-12,28430,
1971-01,28583,
1971-02,28708,
1971-03,28812,
1971-04,28990,
1971-05,29114,
1971-06,29567,
1971-07,29726,
1971-08,29638,
1971-09,29881,
1971-10,30068,
1971-11,30144,
1971-12,30530,
1972-01,30715,
1972-02,30779,
1972-03,30844,
1972-04,30912,
1972-05,31113,
1972-06,31352,
1972-07,31549,
1972-08,31885,
1972-09,31927,
1972-10,32129,
1972-11,32277,
1972-12,32607,
1973-01,32673,
1973-02,32778,
1973-03,32834,
1973-04,32936,
1973-05,33090,
1973-06,33230,
1973-07,33529,
1973-08,33737,
1973-09,33768,
1973-10,33798,
1973-11,33893,
1973-12,34052,
1974-01,34265,
1974-02,34463,
1974-03,34527,
1974-04,34623,
1974-05,34744,
1974-06,34782,
1974-07,35086,
1974-08,35277,
1974-09,35407,
1974-10,35515,
1974-11,35704,
1974-12,35896,
1975-01,36170,
1975-02,36287,
