"",BBK01.OEBB03G,BBK01.OEBB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:33,
2002-01,8.369,
2002-04,11.346,
2002-07,11.220,
2002-10,11.085,
2003-01,11.088,
2003-04,10.915,
2003-07,11.101,
2003-10,11.883,
2004-01,12.501,
2004-04,13.419,
2004-07,13.542,
2004-10,16.260,
2005-01,12.022,
2005-04,12.056,
2005-07,9.734,
2005-10,9.728,
2006-01,9.834,
2006-04,9.943,
2006-07,9.927,
2006-10,8.441,
2007-01,8.402,
2007-04,8.667,
2007-07,8.924,
2007-10,8.901,
2008-01,9.084,
2008-04,9.295,
2008-07,9.486,
2008-10,9.843,
2009-01,10.526,
2009-04,11.857,
2009-07,11.881,
2009-10,12.762,
2010-01,13.010,
2010-04,13.451,
2010-07,14.114,
2010-10,15.023,
2011-01,14.813,
2011-04,14.911,
2011-07,15.287,
2011-10,16.159,
2012-01,16.339,
2012-04,16.313,
2012-07,16.426,
2012-10,15.939,
2013-01,15.578,
2013-04,15.861,
2013-07,15.639,
2013-10,16.808,
2014-01,16.736,
2014-04,16.296,
2014-07,16.284,
