"",BBFN1.M.DE.N.1.A.IT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:48,
1982-09,0.273,
1982-10,0.262,
1982-11,0.280,
1982-12,0.253,
1983-01,0.241,
1983-02,0.266,
1983-03,0.251,
1983-04,0.250,
1983-05,0.270,
1983-06,0.288,
1983-07,0.281,
1983-08,0.293,
1983-09,0.281,
1983-10,0.281,
1983-11,0.271,
1983-12,0.279,
1984-01,0.283,
1984-02,0.288,
1984-03,0.285,
1984-04,0.297,
1984-05,0.309,
1984-06,0.322,
1984-07,0.311,
1984-08,0.325,
1984-09,0.332,
1984-10,0.307,
1984-11,0.333,
1984-12,0.342,
1985-01,0.357,
1985-02,0.369,
1985-03,0.365,
1985-04,0.372,
1985-05,0.374,
1985-06,0.391,
1985-07,0.409,
1985-08,0.378,
1985-09,0.389,
1985-10,0.394,
1985-11,0.423,
1985-12,0.422,
1986-01,0.452,
1986-02,0.454,
1986-03,0.456,
1986-04,0.525,
1986-05,0.540,
1986-06,0.513,
1986-07,0.540,
1986-08,0.508,
1986-09,0.503,
1986-10,0.514,
1986-11,0.540,
1986-12,0.492,
1987-01,0.514,
1987-02,0.542,
1987-03,0.530,
1987-04,0.574,
1987-05,0.500,
1987-06,0.596,
1987-07,0.716,
1987-08,0.738,
1987-09,0.667,
1987-10,0.626,
1987-11,0.652,
1987-12,0.605,
1988-01,0.612,
1988-02,0.675,
1988-03,0.672,
1988-04,0.662,
1988-05,0.693,
1988-06,0.792,
1988-07,0.782,
1988-08,0.748,
1988-09,0.788,
1988-10,0.801,
1988-11,0.877,
1988-12,0.812,
1989-01,0.783,
1989-02,0.764,
1989-03,0.795,
1989-04,0.774,
1989-05,0.835,
1989-06,0.926,
1989-07,1.037,
1989-08,1.013,
1989-09,1.225,
1989-10,1.272,
1989-11,1.188,
1989-12,1.220,
1990-01,1.249,
1990-02,1.475,
1990-03,1.461,
1990-04,1.458,
1990-05,1.441,
1990-06,1.280,
1990-07,1.313,
1990-08,1.361,
1990-09,1.446,
1990-10,1.473,
1990-11,1.569,
1990-12,1.548,
1991-01,1.512,
