"",BBK01.OEAH15H,BBK01.OEAH15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:48,
2002-01,344.058,
2002-04,344.984,
2002-07,343.509,
2002-10,351.970,
2003-01,350.829,
2003-04,354.076,
2003-07,351.402,
2003-10,360.166,
2004-01,361.147,
2004-04,355.004,
2004-07,353.807,
2004-10,360.157,
2005-01,374.253,
2005-04,377.425,
2005-07,379.283,
2005-10,383.447,
2006-01,385.564,
2006-04,389.272,
2006-07,391.929,
2006-10,396.759,
2007-01,404.674,
2007-04,413.797,
2007-07,424.206,
2007-10,438.558,
2008-01,453.441,
2008-04,459.567,
2008-07,466.820,
2008-10,483.094,
2009-01,493.955,
2009-04,491.650,
2009-07,484.868,
2009-10,492.694,
2010-01,487.742,
2010-04,488.802,
2010-07,490.171,
2010-10,513.556,
2011-01,508.975,
2011-04,509.276,
2011-07,527.455,
2011-10,527.970,
2012-01,521.922,
2012-04,530.755,
2012-07,541.342,
2012-10,537.611,
2013-01,542.057,
2013-04,549.330,
2013-07,520.151,
2013-10,521.479,
2014-01,522.431,
2014-04,523.580,
2014-07,527.045,
