"",BBK01.OEAA55J,BBK01.OEAA55J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:52,
2002-01,4.656,
2002-04,4.262,
2002-07,4.362,
2002-10,4.256,
2003-01,4.222,
2003-04,4.234,
2003-07,4.217,
2003-10,4.109,
2004-01,4.309,
2004-04,4.438,
2004-07,4.420,
2004-10,4.111,
2005-01,4.286,
2005-04,4.718,
2005-07,5.145,
2005-10,5.384,
2006-01,5.455,
2006-04,5.575,
2006-07,5.691,
2006-10,4.710,
2007-01,4.852,
2007-04,5.283,
2007-07,5.425,
2007-10,5.272,
2008-01,5.264,
2008-04,5.589,
2008-07,6.474,
2008-10,6.926,
2009-01,7.142,
2009-04,6.922,
2009-07,6.782,
2009-10,6.692,
2010-01,7.090,
2010-04,8.734,
2010-07,7.729,
2010-10,7.079,
2011-01,6.685,
2011-04,6.681,
2011-07,7.071,
2011-10,7.323,
2012-01,6.710,
2012-04,6.982,
2012-07,6.597,
2012-10,1.947,
2013-01,1.939,
2013-04,1.809,
2013-07,1.846,
2013-10,1.872,
2014-01,1.842,
2014-04,1.774,
2014-07,1.800,
