"",BBK01.OEBK03O,BBK01.OEBK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:05,
2002-01,0.052,
2002-04,0.042,
2002-07,0.028,
2002-10,0.043,
2003-01,0.039,
2003-04,0.025,
2003-07,0.033,
2003-10,-,Nothing exists
2004-01,0.009,
2004-04,0.023,
2004-07,0.003,
2004-10,-0.004,
2005-01,0.084,
2005-04,0.088,
2005-07,0.078,
2005-10,0.106,
2006-01,0.093,
2006-04,0.117,
2006-07,0.138,
2006-10,0.160,
2007-01,0.161,
2007-04,0.160,
2007-07,0.193,
2007-10,0.194,
2008-01,0.206,
2008-04,0.224,
2008-07,0.242,
2008-10,0.245,
2009-01,0.196,
2009-04,0.163,
2009-07,0.121,
2009-10,0.111,
2010-01,0.100,
2010-04,0.164,
2010-07,0.105,
2010-10,0.081,
2011-01,0.078,
2011-04,0.069,
2011-07,0.080,
2011-10,0.068,
2012-01,0.063,
2012-04,0.054,
2012-07,0.039,
2012-10,0.026,
2013-01,0.023,
2013-04,0.020,
2013-07,0.022,
2013-10,0.018,
2014-01,0.018,
2014-04,0.026,
2014-07,0.025,
