"",BBK01.OELB05I,BBK01.OELB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:29,
2002-01,6.861,
2002-04,7.222,
2002-07,7.716,
2002-10,7.187,
2003-01,7.286,
2003-04,7.532,
2003-07,7.565,
2003-10,7.346,
2004-01,7.299,
2004-04,7.611,
2004-07,7.524,
2004-10,7.648,
2005-01,7.640,
2005-04,7.655,
2005-07,7.716,
2005-10,7.812,
2006-01,7.561,
2006-04,6.851,
2006-07,6.726,
2006-10,6.319,
2007-01,6.366,
2007-04,6.399,
2007-07,6.393,
2007-10,6.359,
2008-01,6.394,
2008-04,6.375,
2008-07,6.488,
2008-10,6.536,
2009-01,6.584,
2009-04,6.640,
2009-07,6.760,
2009-10,6.678,
2010-01,6.765,
2010-04,6.913,
2010-07,6.969,
2010-10,6.982,
2011-01,7.130,
2011-04,7.256,
2011-07,7.432,
2011-10,7.310,
2012-01,7.375,
2012-04,9.215,
2012-07,9.410,
2012-10,9.561,
2013-01,9.676,
2013-04,9.904,
2013-07,10.095,
2013-10,10.249,
2014-01,10.279,
2014-04,10.483,
2014-07,10.678,
