"",BBK01.OEBM01J,BBK01.OEBM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:15,
2002-01,0.098,
2002-04,0.069,
2002-07,0.069,
2002-10,0.080,
2003-01,0.062,
2003-04,0.042,
2003-07,0.059,
2003-10,0.071,
2004-01,0.051,
2004-04,0.068,
2004-07,0.054,
2004-10,0.075,
2005-01,0.067,
2005-04,0.070,
2005-07,0.090,
2005-10,0.078,
2006-01,0.114,
2006-04,0.132,
2006-07,0.137,
2006-10,0.130,
2007-01,0.126,
2007-04,0.126,
2007-07,0.123,
2007-10,0.134,
2008-01,0.134,
2008-04,0.128,
2008-07,0.141,
2008-10,0.174,
2009-01,0.152,
2009-04,0.152,
2009-07,0.130,
2009-10,0.132,
2010-01,0.132,
2010-04,0.129,
2010-07,0.140,
2010-10,0.127,
2011-01,0.147,
2011-04,0.159,
2011-07,0.149,
2011-10,0.138,
2012-01,0.180,
2012-04,0.344,
2012-07,0.332,
2012-10,0.357,
2013-01,0.264,
2013-04,0.191,
2013-07,0.183,
2013-10,0.148,
2014-01,0.509,
2014-04,0.476,
2014-07,0.517,
