"",BBK01.SUD033,BBK01.SUD033_FLAGS
"",Outstanding amounts (volumes) of German banks / Loans to non-financial corporations with a maturity of over 1 year and up to 5 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:42,
2003-01,88111,
2003-02,87569,
2003-03,87358,
2003-04,87555,
2003-05,87344,
2003-06,87487,
2003-07,87735,
2003-08,88871,
2003-09,88151,
2003-10,88246,
2003-11,88462,
2003-12,87966,
2004-01,88474,
2004-02,87879,
2004-03,87519,
2004-04,87478,
2004-05,89876,
2004-06,90154,
2004-07,90072,
2004-08,90723,
2004-09,89980,
2004-10,87915,
2004-11,87256,
2004-12,87044,
2005-01,86960,
2005-02,86165,
2005-03,85401,
2005-04,84101,
2005-05,83456,
2005-06,83350,
2005-07,84654,
2005-08,86614,
2005-09,87116,
2005-10,87126,
2005-11,86744,
2005-12,85524,
2006-01,85081,
2006-02,86030,
2006-03,87248,
2006-04,87594,
2006-05,88128,
2006-06,90560,
2006-07,93650,
2006-08,92296,
2006-09,94768,
2006-10,94563,
2006-11,95324,
2006-12,93621,
2007-01,94733,
2007-02,94268,
2007-03,94383,
2007-04,94834,
2007-05,97867,
2007-06,97605,
2007-07,97599,
2007-08,99908,
2007-09,101492,
2007-10,100697,
2007-11,102768,
2007-12,109222,
2008-01,112568,
2008-02,114577,
2008-03,116463,
2008-04,119193,
2008-05,120527,
2008-06,122714,
2008-07,124690,
2008-08,128090,
2008-09,130018,
2008-10,133883,
2008-11,135699,
2008-12,138069,
2009-01,140169,
2009-02,140944,
2009-03,139786,
2009-04,142202,
2009-05,142644,
2009-06,142643,
2009-07,144430,
2009-08,144119,
2009-09,144402,
2009-10,143106,
2009-11,142207,
2009-12,144786,
2010-01,143161,
2010-02,143854,
2010-03,139466,
2010-04,138677,
2010-05,137604,
2010-06,136207,
2010-07,134907,
2010-08,133990,
2010-09,134337,
2010-10,133816,
2010-11,134424,
2010-12,133617,
2011-01,132483,
2011-02,133024,
2011-03,133748,
2011-04,130873,
2011-05,130465,
2011-06,127937,
2011-07,127958,
2011-08,129991,
2011-09,129919,
2011-10,128882,
2011-11,128882,
2011-12,128385,
2012-01,127581,
2012-02,126323,
2012-03,126677,
2012-04,125928,
2012-05,126583,
2012-06,126567,
2012-07,126973,
2012-08,126115,
2012-09,125674,
2012-10,125803,
2012-11,126756,
2012-12,126718,
2013-01,126056,
2013-02,125664,
2013-03,125754,
2013-04,125073,
2013-05,125949,
2013-06,124651,
2013-07,125709,
2013-08,125631,
2013-09,123701,
2013-10,124612,
2013-11,124895,
2013-12,124094,
2014-01,124931,
2014-02,125835,
2014-03,126844,
2014-04,130113,
2014-05,130069,
2014-06,129524,
2014-07,129959,
2014-08,130271,
2014-09,129887,
2014-10,131515,
2014-11,131532,
2014-12,128812,Provisional value
"",General: Data based on mothly balance sheet statistics. p = Provisional,
