"",BBFB1.Q.N.DE.JP.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:14,
1991-01,-18.148,
1991-04,-103.216,
1991-07,-102.266,
1991-10,-108.821,
1992-01,-65.146,
1992-04,-82.108,
1992-07,-80.500,
1992-10,-73.273,
1993-01,-87.112,
1993-04,-191.248,
1993-07,-168.033,
1993-10,-151.533,
1994-01,-128.623,
1994-04,-201.372,
1994-07,-241.018,
1994-10,-112.085,
1995-01,-176.869,
1995-04,-244.152,
1995-07,-242.713,
1995-10,-206.681,
1996-01,-213.416,
1996-04,-264.753,
1996-07,-274.059,
1996-10,-193.033,
1997-01,-66.293,
1997-04,-154.835,
1997-07,-127.499,
1997-10,-166.304,
1998-01,-196.060,
1998-04,-248.128,
1998-07,-221.420,
1998-10,-198.552,
1999-01,-193.272,
1999-04,-223.208,
1999-07,-186.752,
1999-10,-180.692,
2000-01,-463.434,
2000-04,-413.656,
2000-07,-244.116,
2000-10,-313.292,
2001-01,-296.292,
2001-04,-290.285,
2001-07,-213.771,
2001-10,-243.927,
2002-01,-130.290,
2002-04,-144.564,
2002-07,-104.248,
2002-10,-99.977,
2003-01,-317.644,
2003-04,-330.772,
2003-07,-369.611,
2003-10,-361.469,
2004-01,-333.259,
2004-04,-277.998,
2004-07,-235.018,
2004-10,-237.981,
2005-01,74.457,
2005-04,87.491,
2005-07,70.700,
2005-10,105.297,
2006-01,-164.780,
2006-04,-149.356,
2006-07,-205.205,
2006-10,-200.715,
2007-01,-214.517,
2007-04,-222.807,
2007-07,-268.785,
2007-10,-147.333,
2008-01,90.444,
2008-04,-288.176,
2008-07,-415.191,
2008-10,-99.789,
2009-01,-306.130,
2009-04,-281.662,
2009-07,-261.473,
2009-10,-200.366,
2010-01,-221.927,
2010-04,-213.328,
2010-07,-277.451,
2010-10,-211.926,
2011-01,-99.136,
2011-04,-107.510,
2011-07,-115.650,
2011-10,-56.252,
2012-01,-58.527,
2012-04,-56.010,
2012-07,-67.486,
2012-10,-43.600,
2013-01,-138.734,
2013-04,-161.075,
2013-07,-166.633,
2013-10,-119.440,
2014-01,-84.239,Provisional value
2014-04,-101.534,Provisional value
2014-07,-101.487,Provisional value
