"",BBK01.OELB21Q,BBK01.OELB21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:02,
2002-01,0.049,
2002-04,0.058,
2002-07,0.053,
2002-10,0.048,
2003-01,0.059,
2003-04,0.108,
2003-07,0.096,
2003-10,0.093,
2004-01,0.105,
2004-04,0.103,
2004-07,0.095,
2004-10,0.111,
2005-01,0.105,
2005-04,0.099,
2005-07,0.264,
2005-10,0.303,
2006-01,0.304,
2006-04,0.316,
2006-07,0.310,
2006-10,0.409,
2007-01,0.390,
2007-04,0.388,
2007-07,0.564,
2007-10,0.379,
2008-01,0.407,
2008-04,0.399,
2008-07,0.351,
2008-10,0.493,
2009-01,0.484,
2009-04,0.515,
2009-07,0.571,
2009-10,0.569,
2010-01,0.580,
2010-04,0.505,
2010-07,0.504,
2010-10,0.520,
2011-01,0.538,
2011-04,0.567,
2011-07,0.592,
2011-10,0.584,
2012-01,0.601,
2012-04,0.592,
2012-07,0.573,
2012-10,0.603,
2013-01,0.628,
2013-04,0.621,
2013-07,0.643,
2013-10,0.645,
2014-01,0.628,
2014-04,0.587,
2014-07,0.589,
