"",BBDA1.M.DE.N.IM.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.GB.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / United Kingdom / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:31,
1990-07,1532378,
1990-08,1473475,
1990-09,1590875,
1990-10,1851947,
1990-11,1951432,
1990-12,1689633,
1991-01,1759892,
1991-02,1648142,
1991-03,1846047,
1991-04,1776596,
1991-05,1885842,
1991-06,1776224,
1991-07,1907165,
1991-08,1683425,
1991-09,1796354,
1991-10,2086516,
1991-11,1899662,
1991-12,1762880,
1992-01,1782908,
1992-02,1794782,
1992-03,2003161,
1992-04,1997976,
1992-05,1702143,
1992-06,1763086,
1992-07,2051508,
1992-08,1658103,
1992-09,1833910,
1992-10,1938013,
1992-11,1829290,
1992-12,1923096,
1993-01,1425637,
1993-02,1410174,
1993-03,1459626,
1993-04,1676121,
1993-05,1439550,
1993-06,1499082,
1993-07,1531864,
1993-08,1355731,
1993-09,1567606,
1993-10,1465040,
1993-11,1589202,
1993-12,1711814,
1994-01,1469676,
1994-02,1539001,
1994-03,1753025,
1994-04,1520501,
1994-05,1659070,
1994-06,1748647,
1994-07,1610858,
1994-08,1561365,
1994-09,1717256,
1994-10,1668824,
1994-11,1761663,
1994-12,1767636,
1995-01,1717167,
1995-02,1784211,
1995-03,2119180,
1995-04,1827299,
1995-05,1892575,
1995-06,1987739,
1995-07,1852039,
1995-08,1649014,
1995-09,1799529,
1995-10,1847508,
1995-11,1834713,
1995-12,1965350,
1996-01,2021205,
1996-02,1880623,
1996-03,1978603,
1996-04,1943239,
1996-05,1964160,
1996-06,1818188,
1996-07,1957016,
1996-08,1894213,
1996-09,1937025,
1996-10,2370655,
1996-11,2184727,
1996-12,2329464,
1997-01,2083236,
1997-02,2151044,
1997-03,2239226,
1997-04,2137616,
1997-05,2306374,
1997-06,2391047,
1997-07,2636507,
1997-08,2005468,
1997-09,2251103,
1997-10,2766745,
1997-11,2297495,
1997-12,2518509,
1998-01,2320796,
1998-02,2512169,
1998-03,2608796,
1998-04,2574786,
1998-05,2111549,
1998-06,2485964,
1998-07,2507608,
1998-08,2316384,
1998-09,2045078,
1998-10,2615840,
1998-11,2218978,
1998-12,2669062,
1999-01,1989828,
1999-02,2158498,
1999-03,2332503,
1999-04,2280977,
1999-05,3066922,
1999-06,2637740,
1999-07,2655322,
1999-08,2317766,
1999-09,2819916,
1999-10,2773234,
1999-11,2921840,
1999-12,2802786,
2000-01,2615013,
2000-02,2840294,
2000-03,3410437,
2000-04,2492057,
2000-05,3464880,
2000-06,2707249,
2000-07,3009776,
2000-08,3076161,
2000-09,3183591,
2000-10,3334999,
2000-11,3789394,
2000-12,2999403,
2001-01,3199353,
2001-02,2829523,
2001-03,3199602,
2001-04,3339799,
2001-05,3219335,
2001-06,3180838,
2001-07,2753239,
2001-08,2886811,
2001-09,3126818,
2001-10,3536538,
2001-11,3234861,
2001-12,2752392,
2002-01,2553366,
2002-02,2542292,
2002-03,2793663,
2002-04,2760460,
2002-05,2822110,
2002-06,3048055,
2002-07,2480170,
2002-08,2722211,
2002-09,2708918,
2002-10,2882701,
2002-11,3082811,
2002-12,2678715,
2003-01,2685017,
2003-02,2824127,
2003-03,2890317,
2003-04,2677872,
2003-05,2633814,
2003-06,2588642,
2003-07,2486221,
2003-08,2397156,
2003-09,2421303,
2003-10,2706950,
2003-11,2782229,
2003-12,2617880,
2004-01,2476332,
