"",BBK01.OECB22M,BBK01.OECB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:44,
2002-01,0.043,
2002-04,0.047,
2002-07,0.049,
2002-10,0.253,
2003-01,0.043,
2003-04,0.055,
2003-07,0.062,
2003-10,0.051,
2004-01,0.050,
2004-04,0.061,
2004-07,0.058,
2004-10,0.030,
2005-01,0.024,
2005-04,0.032,
2005-07,0.035,
2005-10,0.050,
2006-01,0.074,
2006-04,0.040,
2006-07,0.036,
2006-10,0.037,
2007-01,0.054,
2007-04,0.047,
2007-07,0.026,
2007-10,0.142,
2008-01,0.230,
2008-04,0.151,
2008-07,0.113,
2008-10,0.009,
2009-01,0.014,
2009-04,0.016,
2009-07,0.018,
2009-10,0.007,
2010-01,0.008,
2010-04,0.007,
2010-07,0.022,
2010-10,0.007,
2011-01,0.010,
2011-04,0.003,
2011-07,0.010,
2011-10,0.040,
2012-01,0.078,
2012-04,0.053,
2012-07,0.098,
2012-10,0.003,
2013-01,0.078,
2013-04,0.104,
2013-07,0.080,
2013-10,0.133,
2014-01,0.178,
2014-04,0.164,
2014-07,0.154,
