"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:40,
1991-01,47.065,
1991-04,-4.949,
1991-07,-4.123,
1991-10,-74.164,
1992-01,-11.594,
1992-04,103.945,
1992-07,-35.013,
1992-10,55.942,
1993-01,81.441,
1993-04,7.079,
1993-07,-1.529,
1993-10,178.028,
1994-01,-78.666,
1994-04,85.514,
1994-07,131.067,
1994-10,-40.449,
1995-01,-335.163,
1995-04,236.224,
1995-07,43.487,
1995-10,75.037,
1996-01,86.066,
1996-04,1253.808,
1996-07,-617.371,
1996-10,-197.790,
1997-01,47.318,
1997-04,325.635,
1997-07,-462.108,
1997-10,444.307,
1998-01,1293.630,
1998-04,216.287,
1998-07,-1454.019,
1998-10,-703.181,
1999-01,-231.465,
1999-04,1147.975,
1999-07,448.429,
1999-10,594.754,
2000-01,-597.512,
2000-04,-428.280,
2000-07,554.459,
2000-10,793.666,
2001-01,-634.706,
2001-04,1806.026,
2001-07,-501.164,
2001-10,-514.690,
2002-01,707.247,
2002-04,-669.006,
2002-07,-1194.349,
2002-10,73.194,
2003-01,-643.361,
2003-04,665.051,
2003-07,-49.331,
2003-10,-244.066,
2004-01,403.310,
2004-04,-247.214,
2004-07,-264.186,
2004-10,-355.051,
2005-01,491.748,
2005-04,-360.986,
2005-07,72.891,
2005-10,-629.951,
2006-01,532.062,
2006-04,-271.089,
2006-07,-443.954,
2006-10,260.392,
2007-01,-393.345,
2007-04,654.720,
2007-07,-51.562,
2007-10,-25.396,
2008-01,-21.846,
2008-04,-14.728,
2008-07,115.866,
2008-10,-310.475,
2009-01,116.180,
2009-04,185.283,
2009-07,42.858,
2009-10,75.559,
2010-01,420.918,
2010-04,-110.423,
2010-07,810.172,
2010-10,-460.418,
2011-01,-278.418,
2011-04,-5.154,
2011-07,424.588,
2011-10,-596.259,
2012-01,-154.519,
2012-04,288.036,
2012-07,-2.351,
2012-10,-101.745,
2013-01,-50.081,
2013-04,46.606,
2013-07,-232.902,
2013-10,235.439,
2014-01,-319.581,Provisional value
2014-04,151.993,Provisional value
2014-07,19.649,Provisional value
2014-10,94.538,Provisional value
