"",BBFN1.M.DE.N.1.A.BY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:29,
2006-03,0.142,
2006-04,0.144,
2006-05,0.142,
2006-06,0.134,
2006-07,0.145,
2006-08,0.133,
2006-09,0.153,
2006-10,0.142,
2006-11,0.142,
2006-12,0.149,
2007-01,0.131,
2007-02,0.139,
2007-03,0.151,
2007-04,0.161,
2007-05,0.161,
2007-06,0.156,
2007-07,0.150,
2007-08,0.150,
2007-09,0.152,
2007-10,0.156,
2007-11,0.164,
2007-12,0.163,
2008-01,0.154,
2008-02,0.162,
2008-03,0.184,
2008-04,0.218,
2008-05,0.237,
2008-06,0.234,
2008-07,0.249,
2008-08,0.239,
2008-09,0.265,
2008-10,0.259,
2008-11,0.264,
2008-12,0.235,
2009-01,0.204,
2009-02,0.209,
2009-03,0.215,
2009-04,0.229,
2009-05,0.210,
2009-06,0.201,
2009-07,0.205,
2009-08,0.204,
2009-09,0.197,
2009-10,0.188,
2009-11,0.178,
2009-12,0.167,
2010-01,0.171,
2010-02,0.173,
2010-03,0.190,
2010-04,0.206,
2010-05,0.212,
2010-06,0.210,
2010-07,0.213,
2010-08,0.208,
2010-09,0.206,
2010-10,0.210,
2010-11,0.204,
2010-12,0.191,
2011-01,0.167,
2011-02,0.189,
2011-03,0.201,
2011-04,0.229,
2011-05,0.218,
2011-06,0.215,
2011-07,0.216,
2011-08,0.212,
2011-09,0.225,
2011-10,0.223,
2011-11,0.230,
2011-12,0.209,
2012-01,0.199,
2012-02,0.197,
2012-03,0.233,
2012-04,0.245,
2012-05,0.241,
2012-06,0.248,
2012-07,0.274,
2012-08,0.263,
2012-09,0.245,
2012-10,0.238,
2012-11,0.236,
2012-12,0.226,
2013-01,0.219,
2013-02,0.236,
2013-03,0.304,
2013-04,0.291,
2013-05,0.299,
2013-06,0.303,
2013-07,0.312,
2013-08,0.330,
2013-09,0.308,
2013-10,0.308,
2013-11,0.304,
2013-12,0.319,
2014-01,0.319,
2014-02,0.293,
2014-03,0.301,
2014-04,0.307,
2014-05,0.296,
2014-06,0.298,
2014-07,0.311,
2014-08,0.287,
2014-09,0.296,
2014-10,0.299,
2014-11,0.297,
2014-12,0.275,
