"",BBK01.OEXK04K,BBK01.OEXK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:18,
2002-01,0.750,
2002-04,0.795,
2002-07,0.786,
2002-10,0.875,
2003-01,0.866,
2003-04,0.814,
2003-07,0.941,
2003-10,0.812,
2004-01,0.835,
2004-04,0.797,
2004-07,0.790,
2004-10,0.257,
2005-01,0.232,
2005-04,0.242,
2005-07,0.243,
2005-10,0.313,
2006-01,0.331,
2006-04,0.355,
2006-07,0.387,
2006-10,0.362,
2007-01,0.383,
2007-04,0.364,
2007-07,0.418,
2007-10,0.644,
2008-01,0.487,
2008-04,0.566,
2008-07,0.783,
2008-10,0.757,
2009-01,0.507,
2009-04,0.344,
2009-07,0.260,
2009-10,0.231,
2010-01,0.222,
2010-04,0.179,
2010-07,0.163,
2010-10,0.267,
2011-01,0.251,
2011-04,0.264,
2011-07,0.291,
2011-10,0.329,
2012-01,0.266,
2012-04,0.222,
2012-07,0.179,
2012-10,0.154,
2013-01,0.102,
2013-04,0.102,
2013-07,0.106,
2013-10,0.100,
2014-01,0.095,
2014-04,0.098,
2014-07,0.092,
