"",BBEX3.M.SLL.USD.CA.AB.A01,BBEX3.M.SLL.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Sierra Leone / USD 1 = SLL ... (selling),
unit,SLL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:58,
1991-01,203.6000,
1991-02,204.8000,
1991-03,223.6000,
1991-04,238.5000,
1991-05,248.8600,
1991-06,263.8600,
1991-07,314.3300,
1991-08,327.1700,
1991-09,367.5000,
1991-10,420.8300,
1991-11,424.9300,
1991-12,442.3800,
1992-01,455.2200,
1992-02,475.0000,
1992-03,500.0000,
1992-04,505.4000,
1992-05,513.3300,
1992-06,519.2900,
1992-07,518.1500,
1992-08,520.9000,
1992-09,522.9800,
1992-10,525.0000,
1992-11,530.0000,
1992-12,543.3300,
1993-01,566.6700,
1993-02,566.6700,
1993-03,568.3300,
1993-04,570.5700,
1993-05,578.7600,
1993-06,580.9700,
1993-07,580.5200,
1993-08,577.1900,
1993-09,594.0100,
1993-10,580.0000,
1993-11,587.5000,
1993-12,587.5000,
1994-01,587.5000,
1994-02,587.5000,
1994-03,585.0000,
1994-04,582.4600,
1994-05,587.3400,
1994-06,589.2800,
1994-07,587.0500,
1994-08,593.9000,
1994-09,599.2700,
1994-10,601.3300,
1994-11,609.1900,
1994-12,619.0600,
1995-01,635.5600,
1995-02,646.5000,
1995-03,645.8900,
1995-04,643.8900,
1995-05,652.0500,
1995-06,689.9700,
1995-07,768.6500,
1995-08,801.7100,
1995-09,860.3900,
1995-10,902.0600,
1995-11,945.4600,
1995-12,967.0100,
1996-01,961.0700,
1996-02,944.5800,
1996-03,942.7900,
1996-04,937.6800,
1996-05,897.3100,
1996-06,906.7600,
1996-07,915.6000,
1996-08,925.6900,
1996-09,943.8000,
1996-10,935.1300,
1996-11,937.5200,
1996-12,934.8700,
1997-01,917.1000,
1997-02,902.6500,
1997-03,860.4200,
1997-04,831.9400,
1997-05,830.2500,
1997-06,824.8100,
1997-07,824.8100,
1997-08,1031.9100,
1997-09,1094.0700,
1997-10,1226.8500,
1997-11,1271.2900,
1997-12,1324.6300,
1998-01,1504.9500,
1998-02,1624.9400,
1998-03,1564.6700,
1998-04,1519.9700,
1998-05,1549.0600,
1998-06,1531.0900,
1998-07,1587.7600,
1998-08,1597.6500,
1998-09,1626.2200,
1998-10,1606.4300,
1998-11,1628.3900,
1998-12,1606.5100,
1999-01,1564.4500,
1999-02,1582.5800,
1999-03,1656.4200,
1999-04,1609.0200,
1999-05,1695.5500,
1999-06,1820.9600,
1999-07,1814.6700,
1999-08,1951.2600,
1999-09,2075.1500,
1999-10,2102.4600,
1999-11,2262.6300,
1999-12,2299.0400,
2000-01,2392.0600,
2000-02,2392.2400,
