"",BBK01.OELL06I,BBK01.OELL06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:12,
2002-01,0.309,
2002-04,0.319,
2002-07,0.331,
2002-10,0.343,
2003-01,0.331,
2003-04,0.426,
2003-07,0.324,
2003-10,0.318,
2004-01,0.283,
2004-04,0.267,
2004-07,0.263,
2004-10,0.263,
2005-01,0.261,
2005-04,0.262,
2005-07,0.267,
2005-10,0.266,
2006-01,0.252,
2006-04,0.251,
2006-07,0.249,
2006-10,0.240,
2007-01,0.229,
2007-04,0.243,
2007-07,0.246,
2007-10,0.261,
2008-01,0.270,
2008-04,0.268,
2008-07,0.270,
2008-10,0.269,
2009-01,0.255,
2009-04,0.235,
2009-07,0.225,
2009-10,0.225,
2010-01,0.217,
2010-04,0.219,
2010-07,0.207,
2010-10,0.227,
2011-01,0.239,
2011-04,0.253,
2011-07,0.259,
2011-10,0.275,
2012-01,0.263,
2012-04,0.256,
2012-07,0.248,
2012-10,0.204,
2013-01,0.198,
2013-04,0.179,
2013-07,0.176,
2013-10,0.180,
2014-01,0.173,
2014-04,0.145,
2014-07,0.137,
