"",BBEX3.M.COP.USD.CA.AB.A01,BBEX3.M.COP.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Colombia / USD 1 = COP ... (selling),
unit,COP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:48,
1994-01,818.70,
1994-02,820.02,
1994-03,820.78,
1994-04,837.61,
1994-05,841.95,
1994-06,819.96,
1994-07,816.05,
1994-08,816.60,
1994-09,842.34,
1994-10,838.80,
1994-11,829.23,
1994-12,831.79,
1995-01,859.65,
1995-02,856.76,
1995-03,880.77,
1995-04,876.41,
1995-05,876.58,
1995-06,881.39,
1995-07,897.75,
1995-08,960.36,
1995-09,973.29,
1995-10,994.69,
1995-11,998.33,
1995-12,988.12,
1996-01,1028.42,
1996-02,1039.90,
1996-03,1048.53,
1996-04,1058.98,
1996-05,1073.07,
1996-06,1069.88,
1996-07,1056.96,
1996-08,1045.26,
1996-09,1025.38,
1996-10,1015.70,
1996-11,994.67,
1996-12,1003.56,
1997-01,1071.16,
1997-02,1080.56,
1997-03,1060.07,
1997-04,1063.24,
1997-05,1076.50,
1997-06,1090.85,
1997-07,1109.71,
1997-08,1172.59,
1997-09,1246.55,
1997-10,1281.34,
1997-11,1304.63,
1997-12,1293.87,
1998-01,1342.17,
1998-02,1344.55,
1998-03,1361.94,
1998-04,1365.90,
1998-05,1396.65,
1998-06,1363.48,
1998-07,1371.12,
1998-08,1441.01,
1998-09,1556.45,
1998-10,1577.43,
1998-11,1547.72,
1998-12,1536.89,
1999-01,1581.19,
1999-02,1573.03,
1999-03,1536.07,
1999-04,1606.13,
1999-05,1674.16,
1999-06,1734.16,
1999-07,1808.17,
1999-08,1956.82,
1999-09,2018.99,
1999-10,1966.96,
1999-11,1924.89,
1999-12,1868.80,
2000-01,1977.93,
2000-02,1947.56,
2000-03,1953.01,
2000-04,2004.12,
2000-05,2086.27,
2000-06,2139.86,
2000-07,2172.98,
2000-08,2208.50,
2000-09,2212.49,
2000-10,2158.84,
2000-11,2173.34,
2000-12,2230.63,
2001-01,2241.05,
2001-02,2257.82,
2001-03,2309.85,
2001-04,2347.45,
2001-05,2325.58,
2001-06,2305.97,
2001-07,2293.51,
2001-08,2301.56,
2001-09,2329.18,
2001-10,2309.43,
2001-11,2311.36,
2001-12,2301.94,
2002-01,2264.89,
2002-02,2310.07,
2002-03,2262.67,
2002-04,2275.61,
2002-05,2321.26,
2002-06,2398.46,
2002-07,2625.99,
2002-08,2713.68,
2002-09,2828.61,
2002-10,2779.05,
2002-11,2762.84,
2002-12,2865.51,
2003-01,2927.56,
2003-02,2956.78,
2003-03,2958.43,
2003-04,2888.06,
2003-05,2856.41,
2003-06,2817.51,
2003-07,2880.84,
2003-08,2846.45,
2003-09,2889.70,
2003-10,2884.27,
2003-11,2839.07,
2003-12,2779.08,
2004-01,2741.10,
2004-02,2687.18,
2004-03,2678.41,
2004-04,2647.07,
2004-05,2725.51,
2004-06,2699.72,
2004-07,2619.67,
2004-08,2551.69,
2004-09,2595.51,
2004-10,2586.57,
2004-11,2479.45,
2004-12,2393.24,
2005-01,2368.53,
2005-02,2324.76,
2005-03,2376.51,
2005-04,2345.50,
2005-05,2333.07,
2005-06,2332.20,
2005-07,2311.66,
2005-08,2304.67,
2005-09,2289.96,
2005-10,2289.94,
2005-11,2274.24,
2005-12,2284.70,
2006-01,2265.87,
2006-02,2247.64,
2006-03,2290.16,
2006-04,2376.02,
2006-05,2482.90,
2006-06,2633.63,
2006-07,2426.43,
2006-08,2396.97,
2006-09,2397.25,
2006-10,2315.53,
2006-11,2300.55,
2006-12,2239.46,
2007-01,2259.90,
2007-02,2224.30,
2007-03,2155.41,
2007-04,2111.01,
2007-05,1931.15,
2007-06,1958.61,
2007-07,1972.24,
2007-08,2173.90,
2007-09,2013.50,
2007-10,1999.91,
2007-11,2060.88,
2007-12,2015.81,
2008-01,1940.06,
2008-02,1843.80,
2008-03,1821.78,
2008-04,1780.46,
2008-05,1756.12,
2008-06,1924.51,
2008-07,1792.58,
