"",BBK01.OEAK04U,BBK01.OEAK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:28,
2002-01,0.251,
2002-04,0.241,
2002-07,0.238,
2002-10,0.237,
2003-01,0.238,
2003-04,0.243,
2003-07,0.237,
2003-10,0.227,
2004-01,0.216,
2004-04,0.207,
2004-07,0.209,
2004-10,0.209,
2005-01,0.215,
2005-04,0.213,
2005-07,0.203,
2005-10,0.215,
2006-01,0.220,
2006-04,0.222,
2006-07,0.228,
2006-10,0.228,
2007-01,0.234,
2007-04,0.242,
2007-07,0.265,
2007-10,0.274,
2008-01,0.300,
2008-04,0.336,
2008-07,0.364,
2008-10,0.385,
2009-01,0.284,
2009-04,0.234,
2009-07,0.184,
2009-10,0.148,
2010-01,0.132,
2010-04,0.118,
2010-07,0.113,
2010-10,0.111,
2011-01,0.127,
2011-04,0.130,
2011-07,0.121,
2011-10,0.137,
2012-01,0.149,
2012-04,0.153,
2012-07,0.160,
2012-10,0.139,
2013-01,0.128,
2013-04,0.128,
2013-07,0.127,
2013-10,0.125,
2014-01,0.124,
2014-04,0.119,
2014-07,0.118,
