"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Euro area (changing composition),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:28,
2009-09,62067,
2009-10,62048,
2009-11,64318,
2009-12,63583,
2010-01,65417,
2010-02,67165,
2010-03,68794,
2010-04,68987,
2010-05,70383,
2010-06,70249,
2010-07,71506,
2010-08,72410,
2010-09,72009,
2010-10,70165,
2010-11,68631,
2010-12,68292,
2011-01,66707,
2011-02,66221,
2011-03,65336,
2011-04,64467,
2011-05,64950,
2011-06,64209,
2011-07,65239,
2011-08,64821,
2011-09,64419,
2011-10,63829,
2011-11,61752,
2011-12,61427,
2012-01,62402,
2012-02,63200,
2012-03,62194,
2012-04,62797,
2012-05,62805,
2012-06,61771,
2012-07,62912,
2012-08,63380,
2012-09,63963,
2012-10,64418,
2012-11,65073,
2012-12,65572,
2013-01,66014,
2013-02,67588,
2013-03,67966,
2013-04,68679,
2013-05,68993,
2013-06,67702,
2013-07,68833,
2013-08,68480,
2013-09,68910,
2013-10,68543,
2013-11,67678,
2013-12,67456,
2014-01,69358,
2014-02,70228,
2014-03,70189,
2014-04,70970,
2014-05,71655,
2014-06,71751,
2014-07,72074,
2014-08,72835,
2014-09,72573,
2014-10,73366,
2014-11,74808,
