"",BBFN1.M.DE.N.1.L.DK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:12,
1975-12,0.006,
1976-01,0.007,
1976-02,0.007,
1976-03,0.007,
1976-04,0.007,
1976-05,0.007,
1976-06,0.008,
1976-07,0.008,
1976-08,0.011,
1976-09,0.010,
1976-10,0.010,
1976-11,0.007,
1976-12,0.006,
1977-01,0.005,
1977-02,0.005,
1977-03,0.005,
1977-04,0.006,
1977-05,0.005,
1977-06,0.004,
1977-07,0.004,
1977-08,0.004,
1977-09,0.004,
1977-10,0.004,
1977-11,0.003,
1977-12,0.003,
1978-01,0.003,
1978-02,0.005,
1978-03,0.006,
1978-04,0.006,
1978-05,0.007,
1978-06,0.007,
1978-07,0.009,
1978-08,0.008,
1978-09,0.008,
1978-10,0.007,
1978-11,0.006,
1978-12,0.006,
1979-01,0.006,
1979-02,0.006,
1979-03,0.006,
1979-04,0.006,
1979-05,0.007,
1979-06,0.007,
1979-07,0.007,
1979-08,0.007,
1979-09,0.010,
1979-10,0.010,
1979-11,0.009,
1979-12,0.011,
1980-01,0.009,
1980-02,0.015,
1980-03,0.011,
1980-04,0.015,
1980-05,0.015,
1980-06,0.015,
1980-07,0.013,
1980-08,0.010,
1980-09,0.010,
1980-10,0.024,
1980-11,0.024,
1980-12,0.013,
1981-01,0.011,
1981-02,0.014,
1981-03,0.013,
1981-04,0.012,
1981-05,0.010,
1981-06,0.010,
1981-07,0.010,
1981-08,0.011,
1981-09,0.012,
1981-10,0.015,
1981-11,0.015,
1981-12,0.015,
1982-01,0.014,
1982-02,0.014,
1982-03,0.011,
1982-04,0.014,
1982-05,0.014,
1982-06,0.013,
1982-07,0.011,
1982-08,0.008,
1982-09,0.010,
1982-10,0.012,
1982-11,0.010,
1982-12,0.011,
1983-01,0.010,
1983-02,0.008,
1983-03,0.010,
1983-04,0.010,
1983-05,0.011,
1983-06,0.014,
1983-07,0.010,
1983-08,0.010,
1983-09,0.016,
1983-10,0.011,
1983-11,0.017,
1983-12,0.015,
1984-01,0.011,
1984-02,0.011,
1984-03,0.012,
1984-04,0.027,
1984-05,0.019,
1984-06,0.022,
1984-07,0.024,
1984-08,0.024,
1984-09,0.024,
1984-10,0.037,
1984-11,0.053,
1984-12,0.044,
1985-01,0.054,
1985-02,0.044,
1985-03,0.047,
1985-04,0.043,
1985-05,0.043,
1985-06,0.050,
1985-07,0.067,
1985-08,0.078,
1985-09,0.070,
1985-10,0.054,
1985-11,0.045,
1985-12,0.030,
1986-01,0.032,
1986-02,0.037,
1986-03,0.052,
1986-04,0.047,
1986-05,0.046,
1986-06,0.079,
1986-07,0.086,
1986-08,0.090,
1986-09,0.088,
1986-10,0.118,
1986-11,0.134,
1986-12,0.085,
1987-01,0.127,
1987-02,0.120,
1987-03,0.142,
1987-04,0.138,
1987-05,0.144,
1987-06,0.122,
1987-07,0.122,
1987-08,0.117,
1987-09,0.124,
1987-10,0.111,
1987-11,0.121,
1987-12,0.113,
1988-01,0.093,
1988-02,0.100,
1988-03,0.098,
1988-04,0.128,
1988-05,0.129,
1988-06,0.145,
1988-07,0.134,
1988-08,0.139,
1988-09,0.107,
1988-10,0.114,
1988-11,0.130,
1988-12,0.126,
1989-01,0.138,
1989-02,0.157,
1989-03,0.138,
1989-04,0.149,
1989-05,0.148,
1989-06,0.176,
1989-07,0.177,
1989-08,0.166,
1989-09,0.161,
1989-10,0.149,
1989-11,0.142,
1989-12,0.147,
1990-01,0.159,
1990-02,0.164,
1990-03,0.145,
1990-04,0.157,
1990-05,0.164,
1990-06,0.186,
1990-07,0.166,
1990-08,0.163,
1990-09,0.163,
1990-10,0.174,
1990-11,0.175,
1990-12,0.145,
1991-01,0.145,
1991-02,0.153,
1991-03,0.169,
1991-04,0.275,
1991-05,0.237,
1991-06,0.215,
1991-07,0.174,
1991-08,0.243,
1991-09,0.275,
1991-10,0.169,
1991-11,0.178,
1991-12,0.193,
1992-01,0.178,
1992-02,0.179,
1992-03,0.231,
1992-04,0.193,
1992-05,0.211,
1992-06,0.173,
1992-07,0.205,
1992-08,0.202,
1992-09,0.218,
1992-10,0.208,
1992-11,0.189,
1992-12,0.206,
1993-01,0.206,
1993-02,0.222,
1993-03,0.255,
1993-04,0.190,
1993-05,0.159,
1993-06,0.180,
1993-07,0.270,
1993-08,0.223,
1993-09,0.242,
1993-10,0.233,
1993-11,0.247,
1993-12,0.309,
1994-01,0.330,
1994-02,0.325,
1994-03,0.298,
1994-04,0.318,
1994-05,0.304,
1994-06,0.297,
1994-07,0.319,
1994-08,0.331,
1994-09,0.285,
1994-10,0.270,
1994-11,0.190,
1994-12,0.198,
1995-01,0.196,
1995-02,0.167,
1995-03,0.177,
1995-04,0.202,
1995-05,0.187,
1995-06,0.172,
1995-07,0.209,
1995-08,0.207,
1995-09,0.226,
1995-10,0.220,
1995-11,0.235,
1995-12,0.213,
1996-01,0.295,
1996-02,0.344,
1996-03,0.370,
1996-04,0.332,
1996-05,0.327,
1996-06,0.360,
1996-07,0.375,
1996-08,0.350,
1996-09,0.394,
1996-10,0.399,
1996-11,0.364,
1996-12,0.360,
1997-01,0.337,
1997-02,0.269,
1997-03,0.301,
1997-04,0.306,
1997-05,0.314,
1997-06,0.358,
1997-07,0.347,
1997-08,0.315,
1997-09,0.311,
1997-10,0.310,
1997-11,0.332,
1997-12,0.345,
1998-01,0.354,
1998-02,0.363,
1998-03,0.524,
1998-04,0.670,
1998-05,0.648,
1998-06,0.651,
1998-07,0.653,
1998-08,0.649,
1998-09,0.668,
1998-10,0.673,
1998-11,0.643,
1998-12,0.709,
1999-01,0.665,
1999-02,0.631,
1999-03,0.809,
1999-04,0.694,
1999-05,0.714,
1999-06,0.641,
1999-07,0.646,
1999-08,0.660,
1999-09,0.682,
1999-10,0.657,
1999-11,0.689,
1999-12,0.741,
2000-01,0.757,
2000-02,0.737,
2000-03,0.738,
2000-04,0.765,
2000-05,0.840,
2000-06,0.774,
2000-07,0.774,
2000-08,0.750,
2000-09,0.761,
2000-10,0.717,
2000-11,0.708,
2000-12,0.615,
2001-01,0.599,
2001-02,0.598,
2001-03,0.612,
2001-04,0.635,
2001-05,0.699,
2001-06,0.700,
2001-07,0.680,
2001-08,0.755,
2001-09,0.783,
2001-10,0.768,
2001-11,0.759,
2001-12,0.718,
2002-01,0.813,
2002-02,0.845,
2002-03,0.761,
2002-04,0.748,
2002-05,0.713,
2002-06,0.877,
2002-07,0.874,
2002-08,0.880,
2002-09,0.794,
2002-10,0.710,
2002-11,0.750,
2002-12,0.829,
2003-01,0.839,
2003-02,0.811,
2003-03,0.845,
2003-04,0.783,
2003-05,0.771,
2003-06,0.779,
2003-07,0.790,
2003-08,0.883,
2003-09,0.834,
2003-10,0.817,
2003-11,0.886,
2003-12,0.919,
2004-01,0.877,
2004-02,0.752,
2004-03,0.722,
2004-04,0.561,
2004-05,0.593,
2004-06,0.597,
2004-07,0.569,
2004-08,0.635,
2004-09,0.612,
2004-10,0.711,
2004-11,0.733,
2004-12,0.831,
2005-01,0.778,
2005-02,0.808,
2005-03,0.602,
2005-04,0.623,
2005-05,0.623,
2005-06,0.675,
2005-07,0.670,
2005-08,0.671,
2005-09,0.695,
2005-10,0.785,
2005-11,0.850,
2005-12,0.891,
2006-01,0.854,
2006-02,0.870,
2006-03,0.772,
2006-04,0.770,
2006-05,0.912,
2006-06,0.733,
2006-07,0.766,
