"",BBFB1.Q.N.DE.A5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:03,
1991-01,292.260,
1991-04,306.562,
1991-07,309.480,
1991-10,313.813,
1992-01,315.808,
1992-04,330.818,
1992-07,381.997,
1992-10,322.877,
1993-01,355.934,
1993-04,315.068,
1993-07,311.192,
1993-10,293.784,
1994-01,267.619,
1994-04,226.906,
1994-07,199.631,
1994-10,168.271,
1995-01,273.284,
1995-04,269.987,
1995-07,274.069,
1995-10,295.470,
1996-01,296.496,
1996-04,273.364,
1996-07,286.307,
1996-10,289.694,
1997-01,349.566,
1997-04,382.535,
1997-07,367.301,
1997-10,420.949,
1998-01,473.314,
1998-04,571.457,
1998-07,481.104,
1998-10,466.100,
1999-01,416.667,
1999-04,564.730,
1999-07,471.774,
1999-10,516.583,
2000-01,647.615,
2000-04,756.084,
2000-07,679.103,
2000-10,624.574,
2001-01,700.458,
2001-04,658.125,
2001-07,622.246,
2001-10,615.522,
2002-01,524.414,
2002-04,591.457,
2002-07,600.031,
2002-10,613.308,
2003-01,514.119,
2003-04,593.431,
2003-07,588.223,
2003-10,641.944,
2004-01,712.600,
2004-04,690.213,
2004-07,763.262,
2004-10,821.012,
2005-01,1033.921,
2005-04,1087.399,
2005-07,1128.838,
2005-10,1171.348,
2006-01,1197.134,
2006-04,1272.355,
2006-07,1313.828,
2006-10,1354.166,
2007-01,1332.668,
2007-04,1254.669,
2007-07,1109.421,
2007-10,1008.016,
2008-01,1614.020,
2008-04,517.056,
2008-07,126.810,
2008-10,512.410,
2009-01,596.681,
2009-04,815.962,
2009-07,505.867,
2009-10,493.783,
2010-01,425.981,
2010-04,461.715,
2010-07,432.677,
2010-10,477.896,
2011-01,407.430,
2011-04,419.404,
2011-07,415.535,
2011-10,415.368,
2012-01,405.272,
2012-04,408.686,
2012-07,400.376,
2012-10,385.687,
2013-01,333.237,
2013-04,380.306,
2013-07,328.779,
2013-10,334.202,
2014-01,343.930,Provisional value
2014-04,368.646,Provisional value
2014-07,324.596,Provisional value
