"",BBK01.OEAC58S,BBK01.OEAC58S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:58,
2002-01,2.015,
2002-04,1.999,
2002-07,1.868,
2002-10,1.865,
2003-01,1.825,
2003-04,1.782,
2003-07,1.386,
2003-10,1.364,
2004-01,1.303,
2004-04,1.301,
2004-07,1.304,
2004-10,1.347,
2005-01,1.281,
2005-04,1.238,
2005-07,1.233,
2005-10,1.245,
2006-01,1.196,
2006-04,1.178,
2006-07,1.188,
2006-10,1.184,
2007-01,1.210,
2007-04,1.200,
2007-07,1.250,
2007-10,1.069,
2008-01,1.027,
2008-04,1.001,
2008-07,0.941,
2008-10,0.949,
2009-01,0.922,
2009-04,0.944,
2009-07,0.925,
2009-10,0.923,
2010-01,0.901,
2010-04,0.925,
2010-07,0.975,
2010-10,1.202,
2011-01,1.189,
2011-04,1.194,
2011-07,1.173,
2011-10,1.178,
2012-01,1.182,
2012-04,1.289,
2012-07,1.319,
2012-10,1.319,
2013-01,1.317,
2013-04,1.327,
2013-07,1.380,
2013-10,1.412,
2014-01,1.364,
2014-04,1.318,
2014-07,1.279,
