"",BBK01.OEHJ06K,BBK01.OEHJ06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:45,
2002-01,0.049,
2002-04,0.047,
2002-07,0.042,
2002-10,0.051,
2003-01,0.049,
2003-04,0.048,
2003-07,0.054,
2003-10,0.051,
2004-01,0.071,
2004-04,0.073,
2004-07,0.075,
2004-10,0.100,
2005-01,0.099,
2005-04,0.099,
2005-07,0.099,
2005-10,0.098,
2006-01,0.098,
2006-04,0.096,
2006-07,0.096,
2006-10,0.096,
2007-01,0.095,
2007-04,0.092,
2007-07,0.091,
2007-10,0.090,
2008-01,0.088,
2008-04,0.085,
2008-07,0.085,
2008-10,0.080,
2009-01,0.080,
2009-04,0.081,
2009-07,0.075,
2009-10,0.075,
2010-01,0.075,
2010-04,0.075,
2010-07,0.076,
2010-10,0.076,
2011-01,0.077,
2011-04,0.076,
2011-07,0.059,
2011-10,0.060,
2012-01,0.060,
2012-04,0.060,
2012-07,0.060,
2012-10,0.065,
2013-01,0.066,
2013-04,0.065,
2013-07,0.064,
2013-10,0.067,
2014-01,0.047,
2014-04,0.048,
2014-07,1.413,
