"",BBK01.OEAH24S,BBK01.OEAH24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:16,
2002-01,1.486,
2002-04,1.530,
2002-07,1.534,
2002-10,1.540,
2003-01,1.532,
2003-04,1.511,
2003-07,1.498,
2003-10,1.526,
2004-01,1.535,
2004-04,1.557,
2004-07,1.519,
2004-10,1.548,
2005-01,1.521,
2005-04,1.516,
2005-07,1.498,
2005-10,1.475,
2006-01,1.456,
2006-04,1.442,
2006-07,1.433,
2006-10,1.424,
2007-01,1.395,
2007-04,1.376,
2007-07,1.362,
2007-10,1.340,
2008-01,1.300,
2008-04,1.266,
2008-07,1.253,
2008-10,1.217,
2009-01,1.181,
2009-04,1.156,
2009-07,1.113,
2009-10,1.136,
2010-01,1.138,
2010-04,1.097,
2010-07,1.052,
2010-10,1.026,
2011-01,1.012,
2011-04,1.040,
2011-07,1.021,
2011-10,1.049,
2012-01,1.037,
2012-04,1.022,
2012-07,0.996,
2012-10,0.887,
2013-01,0.854,
2013-04,0.865,
2013-07,0.871,
2013-10,0.883,
2014-01,0.904,
2014-04,0.943,
2014-07,0.989,
