"",BBK01.OEBB11O,BBK01.OEBB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:51,
2002-01,0.031,
2002-04,-0.071,
2002-07,-0.092,
2002-10,0.029,
2003-01,-0.138,
2003-04,-0.050,
2003-07,-0.083,
2003-10,-0.067,
2004-01,-0.087,
2004-04,-0.109,
2004-07,-0.080,
2004-10,-0.697,
2005-01,0.371,
2005-04,0.362,
2005-07,0.365,
2005-10,0.351,
2006-01,0.340,
2006-04,0.336,
2006-07,0.351,
2006-10,0.358,
2007-01,0.353,
2007-04,0.364,
2007-07,0.374,
2007-10,0.388,
2008-01,0.391,
2008-04,0.445,
2008-07,0.418,
2008-10,0.416,
2009-01,0.434,
2009-04,0.767,
2009-07,0.700,
2009-10,0.687,
2010-01,0.461,
2010-04,0.505,
2010-07,0.644,
2010-10,0.670,
2011-01,0.606,
2011-04,0.593,
2011-07,0.572,
2011-10,0.525,
2012-01,0.535,
2012-04,0.545,
2012-07,0.530,
2012-10,0.552,
2013-01,0.551,
2013-04,0.548,
2013-07,0.564,
2013-10,0.570,
2014-01,0.580,
2014-04,0.632,
2014-07,0.651,
