"",BBSF2.M.1.S.00000.SON01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.SON01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Other funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:18,
2009-09,1,
2009-10,-,Nothing exists
2009-11,34,
2009-12,34,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,0,
2010-05,4,
2010-06,20,
2010-07,20,
2010-08,20,
2010-09,28,
2010-10,27,
2010-11,27,
2010-12,31,
2011-01,0,
2011-02,10,
2011-03,21,
2011-04,21,
2011-05,21,
2011-06,21,
2011-07,21,
2011-08,18,
2011-09,16,
2011-10,10,
2011-11,10,
2011-12,6,
2012-01,6,
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,6,
2012-08,8,
2012-09,8,
2012-10,8,
2012-11,8,
2012-12,2,
2013-01,8,
2013-02,12,
2013-03,10,
2013-04,12,
2013-05,12,
2013-06,16,
2013-07,19,
2013-08,18,
2013-09,22,
2013-10,20,
2013-11,20,
2013-12,12,
2014-01,18,
2014-02,24,
2014-03,25,
2014-04,23,
2014-05,25,
2014-06,12,
2014-07,11,
2014-08,12,
2014-09,11,
2014-10,10,
2014-11,10,
