"",BBK01.WXI069,BBK01.WXI069_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:51,
2009-09,4,
2009-10,4,
2009-11,4,
2009-12,4,
2010-01,3,
2010-02,3,
2010-03,4,
2010-04,4,
2010-05,6,
2010-06,5,
2010-07,6,
2010-08,5,
2010-09,31,
2010-10,21,
2010-11,88,
2010-12,25,
2011-01,17,
2011-02,12,
2011-03,12,
2011-04,19,
2011-05,16,
2011-06,26,
2011-07,12,
2011-08,11,
2011-09,63,
2011-10,25,
2011-11,193,
2011-12,64,
2012-01,51,
2012-02,14,
2012-03,66,
2012-04,103,
2012-05,112,
2012-06,25,
2012-07,31,
2012-08,26,
2012-09,18,
2012-10,13,
2012-11,41,
2012-12,86,
2013-01,62,
2013-02,121,
2013-03,110,
2013-04,51,
2013-05,99,
2013-06,131,
2013-07,35,
2013-08,162,
2013-09,68,
2013-10,86,
2013-11,346,
2013-12,9,
2014-01,172,
2014-02,31,
2014-03,66,
2014-04,19,
2014-05,69,
2014-06,91,
2014-07,107,
2014-08,250,
2014-09,317,
2014-10,270,
2014-11,546,
