"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:58,
1991-01,8.605,
1991-04,68.309,
1991-07,136.692,
1991-10,46.902,
1992-01,157.280,
1992-04,187.333,
1992-07,-105.460,
1992-10,-124.339,
1993-01,-83.771,
1993-04,-211.552,
1993-07,-202.565,
1993-10,-80.784,
1994-01,-74.240,
1994-04,-87.379,
1994-07,-47.327,
1994-10,34.241,
1995-01,15.697,
1995-04,-38.198,
1995-07,-8.046,
1995-10,89.412,
1996-01,-19.033,
1996-04,43.193,
1996-07,26.464,
1996-10,47.987,
1997-01,51.309,
1997-04,50.139,
1997-07,-193.400,
1997-10,60.207,
1998-01,225.438,
1998-04,84.258,
1998-07,-71.454,
1998-10,4.333,
1999-01,226.942,
1999-04,139.728,
1999-07,-69.009,
1999-10,-148.996,
2000-01,177.735,
2000-04,-139.326,
2000-07,-18.800,
2000-10,10.172,
2001-01,-103.876,
2001-04,151.712,
2001-07,-124.155,
2001-10,-96.368,
2002-01,-5.917,
2002-04,108.498,
2002-07,0.055,
2002-10,-132.801,
2003-01,-66.157,
2003-04,493.540,
2003-07,-66.398,
2003-10,-19.454,
2004-01,166.407,
2004-04,69.365,
2004-07,-52.130,
2004-10,171.497,
2005-01,-195.298,
2005-04,233.583,
2005-07,-134.926,
2005-10,-885.827,
2006-01,889.383,
2006-04,-178.194,
2006-07,341.959,
2006-10,-71.908,
2007-01,441.446,
2007-04,207.975,
2007-07,763.715,
2007-10,589.885,
2008-01,120.417,
2008-04,-972.009,
2008-07,351.398,
2008-10,-145.996,
2009-01,534.022,
2009-04,-146.988,
2009-07,160.562,
2009-10,187.528,
2010-01,-69.782,
2010-04,141.608,
2010-07,385.403,
2010-10,-327.043,
2011-01,852.298,
2011-04,356.149,
2011-07,-18.562,
2011-10,-19.551,
2012-01,169.975,
2012-04,-32.375,
2012-07,155.174,
2012-10,177.903,
2013-01,136.939,
2013-04,-175.512,
2013-07,261.489,
2013-10,144.485,
2014-01,241.115,Provisional value
2014-04,324.906,Provisional value
2014-07,248.982,Provisional value
2014-10,266.687,Provisional value
