"",BBSF2.M.1.P.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1977-02,11580,
1977-03,12104,
1977-04,12757,
1977-05,12956,
1977-06,13029,
1977-07,13398,
1977-08,13859,
1977-09,14182,
1977-10,14515,
1977-11,14626,
1977-12,15061,
1978-01,15831,
1978-02,16294,
1978-03,16782,
1978-04,16947,
1978-05,17120,
1978-06,17342,
1978-07,17400,
1978-08,17648,
1978-09,18019,
1978-10,17899,
1978-11,17575,
1978-12,17794,
1979-01,17997,
1979-02,17749,
1979-03,17922,
1979-04,17963,
1979-05,17674,
1979-06,17703,
1979-07,18058,
1979-08,18271,
1979-09,18317,
1979-10,17696,
1979-11,17675,
1979-12,17753,
1980-01,17699,
1980-02,17245,
1980-03,16498,
1980-04,16873,
1980-05,17251,
1980-06,17587,
1980-07,17844,
1980-08,17686,
1980-09,17518,
1980-10,17103,
1980-11,16934,
1980-12,16773,
1981-01,16759,
1981-02,15977,
1981-03,16142,
1981-04,16177,
1981-05,15857,
1981-06,16133,
1981-07,16043,
1981-08,15650,
1981-09,15357,
1981-10,15154,
1981-11,15474,
1981-12,15359,
1982-01,15400,
1982-02,15250,
1982-03,15583,
1982-04,15797,
1982-05,15805,
1982-06,15645,
1982-07,15805,
1982-08,16153,
1982-09,16557,
1982-10,16718,
1982-11,16836,
1982-12,17303,
1983-01,17538,
1983-02,17860,
1983-03,18814,
1983-04,19322,
1983-05,19169,
1983-06,19396,
1983-07,19637,
1983-08,19467,
1983-09,19625,
1983-10,20097,
1983-11,20061,
1983-12,20342,
1984-01,20723,
1984-02,20380,
1984-03,20584,
1984-04,20852,
1984-05,20573,
1984-06,20893,
1984-07,21041,
1984-08,21617,
1984-09,22269,
1984-10,22659,
1984-11,23066,
1984-12,23716,
1985-01,24449,
1985-02,24400,
1985-03,24502,
1985-04,25238,
1985-05,26226,
1985-06,26805,
1985-07,26816,
1985-08,27686,
1985-09,27965,
1985-10,28813,
1985-11,28824,
1985-12,30044,
1986-01,30319,
1986-02,30706,
1986-03,32583,
1986-04,33597,
1986-05,33736,
1986-06,33951,
1986-07,33941,
1986-08,35303,
1986-09,35037,
1986-10,35569,
1986-11,35648,
1986-12,36285,
1987-01,36443,
1987-02,36830,
1987-03,38005,
1987-04,38700,
1987-05,39629,
1987-06,40585,
1987-07,41781,
1987-08,42189,
1987-09,42619,
1987-10,40879,
1987-11,40459,
1987-12,40859,
1988-01,41831,
1988-02,43491,
1988-03,44669,
1988-04,45229,
1988-05,46521,
1988-06,48025,
1988-07,49093,
1988-08,49501,
1988-09,51397,
1988-10,52073,
1988-11,52211,
1988-12,54053,
1989-01,56766,
1989-02,55844,
1989-03,57841,
1989-04,59092,
1989-05,60398,
1989-06,61194,
1989-07,62270,
1989-08,63469,
1989-09,62948,
1989-10,62351,
1989-11,61781,
1989-12,62408,
1990-01,62679,
1990-02,61685,
1990-03,64623,
1990-04,64365,
1990-05,65590,
1990-06,66368,
1990-07,67100,
1990-08,65072,
1990-09,63994,
1990-10,65307,
1990-11,64353,
1990-12,64758,
1991-01,65277,
1991-02,66978,
1991-03,69311,
1991-04,71271,
1991-05,72496,
1991-06,73576,
1991-07,73682,
1991-08,74078,
1991-09,74356,
1991-10,75436,
1991-11,73360,
1991-12,73842,
1992-01,77698,
1992-02,79033,
1992-03,79866,
1992-04,81163,
1992-05,82242,
1992-06,81208,
1992-07,79941,
1992-08,77183,
1992-09,75814,
1992-10,76608,
1992-11,74150,
1992-12,73047,
1993-01,74313,
1993-02,76080,
1993-03,77625,
1993-04,78325,
1993-05,79705,
1993-06,81575,
1993-07,82712,
1993-08,84310,
1993-09,84379,
1993-10,88043,
1993-11,89238,
1993-12,93050,
1994-01,97715,
1994-02,98673,
1994-03,99009,
1994-04,100822,
1994-05,100299,
1994-06,98942,
1994-07,101050,
1994-08,101777,
1994-09,101047,
1994-10,102623,
1994-11,104715,
1994-12,117090,
1995-01,115344,
1995-02,114316,
1995-03,112174,
1995-04,113861,
1995-05,116322,
1995-06,116822,
1995-07,119271,
1995-08,121321,
1995-09,121168,
1995-10,122354,
1995-11,124460,
1995-12,129953,
1996-01,134731,
1996-02,134978,
1996-03,136322,
1996-04,139369,
1996-05,140292,
1996-06,140243,
1996-07,138787,
1996-08,140255,
1996-09,143054,
1996-10,143952,
1996-11,145702,
1996-12,146492,
1997-01,151254,
1997-02,156675,
1997-03,158505,
1997-04,161351,
1997-05,164587,
1997-06,169633,
1997-07,178653,
1997-08,172475,
1997-09,176451,
1997-10,171130,
1997-11,172561,
1997-12,176488,
1998-01,180642,
1998-02,186386,
1998-03,193755,
1998-04,194517,
1998-05,199797,
1998-06,203989,
1998-07,206857,
1998-08,197548,
1998-09,192482,
1998-10,195657,
1998-11,205281,
1998-12,206773,
1999-01,216377,
1999-02,218420,
1999-03,224245,
1999-04,234375,
1999-05,233964,
1999-06,241439,
1999-07,242184,
1999-08,247663,
1999-09,247648,
1999-10,256276,
1999-11,269421,
1999-12,287952,
2000-01,291695,
2000-02,312371,
2000-03,315650,
2000-04,317128,
2000-05,310032,
2000-06,312192,
2000-07,317277,
2000-08,331504,
2000-09,326572,
2000-10,327061,
2000-11,311401,
2000-12,306985,
2001-01,315522,
2001-02,303823,
2001-03,295761,
2001-04,308221,
2001-05,311093,
2001-06,307453,
2001-07,302087,
2001-08,291642,
2001-09,274583,
2001-10,286718,
2001-11,300674,
2001-12,306380,
2002-01,309062,
2002-02,309771,
2002-03,317529,
2002-04,309657,
2002-05,308110,
2002-06,294570,
2002-07,287706,
2002-08,289027,
2002-09,276332,
2002-10,284351,
2002-11,291016,
2002-12,280367,
2003-01,278262,
2003-02,278825,
2003-03,279705,
2003-04,290945,
2003-05,294032,
2003-06,302018,
2003-07,305843,
2003-08,312349,
2003-09,307920,
2003-10,313361,
2003-11,311063,
2003-12,313967,
2004-01,317874,
2004-02,319316,
2004-03,320982,
2004-04,320429,
2004-05,317613,
2004-06,319644,
2004-07,319639,
2004-08,319586,
2004-09,319479,
2004-10,318532,
2004-11,319200,
2004-12,317599,
2005-01,319577,
2005-02,321498,
2005-03,322719,
2005-04,321442,
2005-05,328966,
2005-06,334321,
2005-07,343751,
2005-08,344601,
2005-09,351387,
2005-10,344016,
2005-11,350295,
2005-12,352871,
2006-01,352794,
2006-02,356669,
2006-03,354776,
2006-04,353307,
2006-05,344077,
2006-06,342209,
2006-07,343343,
2006-08,345195,
2006-09,347352,
2006-10,351375,
2006-11,350122,
2006-12,354459,
2007-01,355912,
2007-02,355276,
2007-03,357214,
2007-04,364274,
2007-05,370352,
2007-06,367967,
2007-07,363430,
2007-08,356235,
2007-09,358230,
2007-10,361066,
2007-11,354215,
2007-12,353170,
2008-01,333709,
2008-02,335335,
2008-03,326178,
2008-04,338104,
2008-05,343322,
2008-06,323629,
2008-07,321878,
2008-08,323611,
2008-09,305993,
2008-10,274009,
2008-11,268810,
2008-12,272637,
2009-01,275000,
2009-02,265638,
2009-03,264540,
2009-04,278924,
2009-05,285943,
2009-06,285149,
2009-07,294159,
2009-08,298708,
2009-09,303469,
2009-10,301023,
2009-11,304244,
2009-12,311672,
2010-01,310203,
2010-02,314193,
2010-03,325621,
2010-04,326856,
2010-05,327150,
2010-06,319921,
2010-07,323700,
2010-08,323934,
2010-09,327647,
2010-10,330770,
2010-11,332967,
2010-12,339564,
2011-01,339650,
2011-02,342308,
2011-03,337161,
2011-04,340297,
2011-05,340557,
2011-06,335827,
2011-07,336516,
2011-08,316297,
2011-09,310592,
2011-10,320300,
2011-11,313801,
2011-12,314926,
2012-01,323812,
2012-02,329152,
2012-03,328366,
2012-04,322449,
2012-05,319378,
2012-06,318385,
2012-07,327109,
2012-08,327854,
2012-09,330014,
2012-10,330472,
2012-11,333854,
2012-12,334758,
2013-01,338468,
2013-02,342995,
2013-03,346829,
2013-04,349108,
2013-05,352881,
2013-06,344078,
2013-07,352802,
2013-08,349299,
2013-09,355396,
2013-10,363376,
2013-11,362840,
2013-12,363251,
2014-01,360387,
2014-02,368974,
2014-03,367761,
2014-04,368706,
2014-05,376431,
2014-06,376514,
2014-07,375027,
2014-08,381115,
2014-09,378307,
2014-10,375890,
2014-11,382648,
