"",BBK01.OEHB14S,BBK01.OEHB14S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:14,
2002-01,0.253,
2002-04,0.251,
2002-07,0.244,
2002-10,0.232,
2003-01,0.231,
2003-04,0.227,
2003-07,0.227,
2003-10,0.217,
2004-01,0.236,
2004-04,0.242,
2004-07,0.236,
2004-10,0.227,
2005-01,0.234,
2005-04,0.232,
2005-07,0.223,
2005-10,0.213,
2006-01,0.218,
2006-04,0.205,
2006-07,0.196,
2006-10,0.185,
2007-01,0.187,
2007-04,0.185,
2007-07,0.178,
2007-10,0.179,
2008-01,0.185,
2008-04,0.180,
2008-07,0.170,
2008-10,0.159,
2009-01,0.169,
2009-04,0.167,
2009-07,0.156,
2009-10,0.148,
2010-01,0.157,
2010-04,0.156,
2010-07,0.156,
2010-10,0.136,
2011-01,0.136,
2011-04,0.135,
2011-07,0.133,
2011-10,0.127,
2012-01,0.133,
2012-04,0.130,
2012-07,0.119,
2012-10,0.118,
2013-01,0.124,
2013-04,0.120,
2013-07,0.111,
2013-10,0.110,
2014-01,0.111,
2014-04,0.110,
2014-07,0.102,
