"",BBK01.OEAE34L,BBK01.OEAE34L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:17,
2002-01,4.402,
2002-04,4.368,
2002-07,4.374,
2002-10,4.532,
2003-01,4.620,
2003-04,4.565,
2003-07,4.673,
2003-10,4.602,
2004-01,4.576,
2004-04,4.424,
2004-07,4.395,
2004-10,4.363,
2005-01,4.304,
2005-04,4.231,
2005-07,4.209,
2005-10,4.172,
2006-01,4.144,
2006-04,4.104,
2006-07,4.137,
2006-10,4.123,
2007-01,4.127,
2007-04,4.218,
2007-07,4.426,
2007-10,4.592,
2008-01,4.617,
2008-04,4.613,
2008-07,4.640,
2008-10,4.629,
2009-01,4.533,
2009-04,4.682,
2009-07,4.355,
2009-10,4.220,
2010-01,4.308,
2010-04,4.344,
2010-07,4.472,
2010-10,4.528,
2011-01,4.568,
2011-04,4.593,
2011-07,4.617,
2011-10,4.575,
2012-01,4.632,
2012-04,5.899,
2012-07,5.895,
2012-10,5.910,
2013-01,5.912,
2013-04,5.892,
2013-07,5.871,
2013-10,5.793,
2014-01,5.732,
2014-04,5.731,
2014-07,5.772,
