"",BBK01.OEAB13G,BBK01.OEAB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:27,
2002-01,61.582,
2002-04,62.756,
2002-07,61.797,
2002-10,61.780,
2003-01,60.472,
2003-04,59.867,
2003-07,59.671,
2003-10,59.473,
2004-01,58.799,
2004-04,58.656,
2004-07,58.239,
2004-10,58.340,
2005-01,56.269,
2005-04,56.008,
2005-07,55.809,
2005-10,56.167,
2006-01,55.423,
2006-04,55.490,
2006-07,54.791,
2006-10,53.916,
2007-01,53.473,
2007-04,53.509,
2007-07,53.597,
2007-10,53.940,
2008-01,53.754,
2008-04,54.248,
2008-07,54.392,
2008-10,54.628,
2009-01,54.515,
2009-04,55.559,
2009-07,55.516,
2009-10,55.374,
2010-01,55.336,
2010-04,55.904,
2010-07,56.005,
2010-10,55.952,
2011-01,56.069,
2011-04,56.295,
2011-07,56.305,
2011-10,56.170,
2012-01,55.859,
2012-04,58.223,
2012-07,58.631,
2012-10,58.441,
2013-01,58.188,
2013-04,58.535,
2013-07,58.208,
2013-10,57.900,
2014-01,57.780,
2014-04,57.867,
2014-07,57.995,
