"",BBFN1.M.DE.N.1.A.U2.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents affiliated enterprises arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:31,
1995-01,12.076,
1995-02,12.697,
1995-03,12.885,
1995-04,13.209,
1995-05,13.172,
1995-06,12.890,
1995-07,12.429,
1995-08,12.359,
1995-09,12.497,
1995-10,13.140,
1995-11,13.520,
1995-12,12.938,
1996-01,12.957,
1996-02,14.279,
1996-03,15.532,
1996-04,15.148,
1996-05,14.460,
1996-06,14.209,
1996-07,12.909,
1996-08,12.705,
1996-09,13.109,
1996-10,12.557,
1996-11,12.871,
1996-12,13.692,
1997-01,15.341,
1997-02,15.329,
1997-03,13.944,
1997-04,15.158,
1997-05,15.035,
1997-06,14.947,
1997-07,17.385,
1997-08,16.420,
1997-09,15.950,
1997-10,16.295,
1997-11,15.577,
1997-12,16.192,
1998-01,16.757,
1998-02,16.699,
1998-03,16.514,
1998-04,17.303,
1998-05,17.371,
1998-06,17.299,
1998-07,18.736,
1998-08,18.518,
1998-09,19.214,
1998-10,19.428,
1998-11,18.962,
1998-12,19.909,
1999-01,20.030,
1999-02,20.697,
1999-03,24.012,
1999-04,24.229,
1999-05,24.975,
1999-06,26.452,
1999-07,26.558,
1999-08,27.687,
1999-09,29.007,
1999-10,25.970,
1999-11,26.769,
1999-12,28.547,
2000-01,29.757,
2000-02,28.425,
2000-03,24.437,
2000-04,24.536,
2000-05,23.650,
2000-06,25.385,
2000-07,23.100,
2000-08,32.312,
2000-09,33.415,
2000-10,34.623,
2000-11,34.287,
2000-12,34.659,
2001-01,36.050,
2001-02,36.818,
2001-03,36.327,
2001-04,37.744,
2001-05,37.865,
2001-06,37.865,
2001-07,37.429,
2001-08,38.155,
2001-09,28.998,
2001-10,28.375,
2001-11,28.838,
2001-12,31.176,
2002-01,30.993,
2002-02,31.943,
2002-03,34.505,
2002-04,31.708,
2002-05,32.265,
2002-06,32.391,
2002-07,29.906,
2002-08,29.656,
2002-09,30.961,
2002-10,30.468,
2002-11,29.721,
2002-12,34.743,
2003-01,35.820,
2003-02,37.397,
2003-03,37.360,
2003-04,37.442,
2003-05,38.492,
2003-06,38.903,
2003-07,39.828,
2003-08,38.193,
2003-09,38.864,
2003-10,38.976,
2003-11,39.374,
2003-12,37.753,
2004-01,44.255,
2004-02,40.457,
2004-03,43.117,
2004-04,42.866,
2004-05,43.039,
2004-06,42.761,
2004-07,43.746,
2004-08,45.234,
2004-09,44.234,
2004-10,43.888,
2004-11,41.872,
2004-12,40.499,
2005-01,39.925,
2005-02,40.809,
2005-03,42.253,
2005-04,42.721,
2005-05,40.895,
2005-06,43.694,
2005-07,44.616,
2005-08,45.673,
2005-09,44.797,
2005-10,45.386,
2005-11,43.627,
2005-12,44.557,
2006-01,43.680,
2006-02,47.345,
2006-03,48.643,
2006-04,50.316,
2006-05,51.939,
2006-06,52.439,
2006-07,51.733,
2006-08,53.021,
2006-09,53.461,
2006-10,53.957,
2006-11,49.942,
2006-12,50.240,
2007-01,58.656,
2007-02,54.839,
2007-03,54.016,
2007-04,56.281,
2007-05,56.415,
2007-06,54.666,
2007-07,55.245,
2007-08,54.194,
2007-09,57.684,
2007-10,56.281,
2007-11,53.160,
2007-12,53.347,
2008-01,53.345,
2008-02,55.402,
2008-03,58.297,
2008-04,62.705,
2008-05,62.659,
2008-06,66.372,
2008-07,66.208,
2008-08,63.346,
2008-09,61.939,
2008-10,64.169,
2008-11,65.159,
2008-12,63.914,
2009-01,65.982,
2009-02,64.800,
2009-03,67.652,
2009-04,66.846,
2009-05,67.226,
2009-06,65.436,
2009-07,64.863,
2009-08,63.785,
2009-09,62.815,
2009-10,65.061,
2009-11,64.796,
2009-12,70.442,
2010-01,69.383,
2010-02,68.928,
2010-03,71.492,
2010-04,69.774,
2010-05,70.771,
2010-06,74.771,
2010-07,74.957,
2010-08,74.009,
2010-09,73.875,
2010-10,74.024,
2010-11,74.068,
2010-12,73.415,
2011-01,74.672,
2011-02,74.870,
2011-03,78.091,
2011-04,77.679,
2011-05,77.922,
2011-06,79.373,
2011-07,80.133,
2011-08,79.815,
2011-09,79.291,
2011-10,80.020,
2011-11,77.507,
2011-12,77.375,
2012-01,78.960,
2012-02,79.426,
2012-03,81.014,
2012-04,81.071,
2012-05,81.538,
2012-06,84.653,
2012-07,83.248,
2012-08,83.163,
2012-09,82.816,
2012-10,84.588,
2012-11,83.917,
2012-12,85.688,
2013-01,86.886,
2013-02,85.723,
2013-03,91.332,
2013-04,94.721,
2013-05,93.866,
2013-06,94.922,
2013-07,93.369,
2013-08,91.733,
2013-09,89.859,
2013-10,88.922,
2013-11,88.379,
2013-12,91.610,
2014-01,92.341,
2014-02,94.428,
2014-03,95.119,
2014-04,96.099,
2014-05,94.604,
2014-06,93.525,
2014-07,93.219,
2014-08,97.233,
2014-09,98.364,
2014-10,98.063,
2014-11,94.230,
2014-12,100.988,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
