"",BBK01.OEAC28I,BBK01.OEAC28I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:29,
2002-01,2.406,
2002-04,2.163,
2002-07,2.025,
2002-10,1.937,
2003-01,1.801,
2003-04,1.782,
2003-07,1.502,
2003-10,1.544,
2004-01,0.924,
2004-04,0.859,
2004-07,0.842,
2004-10,0.921,
2005-01,0.943,
2005-04,0.900,
2005-07,0.887,
2005-10,0.793,
2006-01,0.655,
2006-04,0.638,
2006-07,0.627,
2006-10,0.558,
2007-01,0.541,
2007-04,0.509,
2007-07,0.458,
2007-10,0.414,
2008-01,0.405,
2008-04,0.399,
2008-07,0.375,
2008-10,0.372,
2009-01,0.383,
2009-04,0.354,
2009-07,0.338,
2009-10,0.314,
2010-01,0.325,
2010-04,0.301,
2010-07,0.575,
2010-10,0.527,
2011-01,0.559,
2011-04,0.553,
2011-07,0.614,
2011-10,0.656,
2012-01,0.663,
2012-04,0.640,
2012-07,0.625,
2012-10,0.557,
2013-01,0.555,
2013-04,0.565,
2013-07,0.551,
2013-10,0.530,
2014-01,0.794,
2014-04,0.760,
2014-07,0.778,
