"",BBK01.OECO01O,BBK01.OECO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:32,
2002-01,0.729,
2002-04,0.693,
2002-07,0.505,
2002-10,0.497,
2003-01,0.552,
2003-04,0.601,
2003-07,0.609,
2003-10,0.746,
2004-01,0.783,
2004-04,0.781,
2004-07,0.791,
2004-10,0.940,
2005-01,2.394,
2005-04,2.392,
2005-07,2.372,
2005-10,2.299,
2006-01,2.257,
2006-04,2.204,
2006-07,2.141,
2006-10,2.068,
2007-01,2.031,
2007-04,2.079,
2007-07,2.060,
2007-10,2.005,
2008-01,2.021,
2008-04,2.031,
2008-07,2.094,
2008-10,2.037,
2009-01,2.104,
2009-04,2.153,
2009-07,2.297,
2009-10,2.442,
2010-01,2.497,
2010-04,2.527,
2010-07,2.484,
2010-10,2.504,
2011-01,2.565,
2011-04,2.546,
2011-07,2.463,
2011-10,2.455,
2012-01,2.454,
2012-04,2.686,
2012-07,2.615,
2012-10,2.591,
2013-01,2.622,
2013-04,2.537,
2013-07,2.497,
2013-10,2.402,
2014-01,2.361,
2014-04,2.306,
2014-07,2.258,
