"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Liabilities - Positions - General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:47,
1999-10,2492,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,4058,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,5347,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,3604,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,2572,
2004-01,515,
2004-04,1806,
2004-07,2324,
2004-10,791,
2005-01,495,
2005-04,478,
2005-07,1490,
2005-10,649,
2006-01,5788,
2006-04,7450,
2006-07,249,
2006-10,-75,
2007-01,6399,
2007-04,6184,
2007-07,7348,
2007-10,1959,
2008-01,6610,
2008-04,6194,
2008-07,6755,
2008-10,3844,
2009-01,6730,
2009-04,6222,
2009-07,6518,
2009-10,1338,
2010-01,7915,
2010-04,7690,
2010-07,9210,
2010-10,2761,
2011-01,6206,
2011-04,6352,
2011-07,6396,
2011-10,3819,
2012-01,6880,
2012-04,6815,
2012-07,6766,
2012-10,3588,
2013-01,6681,
2013-04,6499,
2013-07,7286,
2013-10,3335,
2014-01,5697,
2014-04,5602,
2014-07,6093,
