"",BBK01.OEAD20N,BBK01.OEAD20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:30,
2002-01,1.295,
2002-04,1.336,
2002-07,1.252,
2002-10,1.272,
2003-01,1.181,
2003-04,1.156,
2003-07,1.136,
2003-10,1.125,
2004-01,1.031,
2004-04,1.009,
2004-07,1.021,
2004-10,1.034,
2005-01,0.970,
2005-04,0.948,
2005-07,0.845,
2005-10,0.886,
2006-01,0.844,
2006-04,0.828,
2006-07,0.899,
2006-10,0.907,
2007-01,0.914,
2007-04,0.894,
2007-07,0.928,
2007-10,0.993,
2008-01,0.982,
2008-04,0.946,
2008-07,0.845,
2008-10,0.892,
2009-01,0.913,
2009-04,0.782,
2009-07,0.746,
2009-10,0.667,
2010-01,0.742,
2010-04,0.729,
2010-07,0.628,
2010-10,0.679,
2011-01,0.805,
2011-04,0.799,
2011-07,0.863,
2011-10,0.817,
2012-01,0.846,
2012-04,0.886,
2012-07,0.781,
2012-10,0.758,
2013-01,0.747,
2013-04,0.866,
2013-07,0.695,
2013-10,0.690,
2014-01,0.691,
2014-04,0.741,
2014-07,0.631,
