"",BBK01.OELJ03P,BBK01.OELJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:34,
2002-01,0.375,
2002-04,0.379,
2002-07,0.372,
2002-10,0.449,
2003-01,0.428,
2003-04,0.387,
2003-07,0.390,
2003-10,0.453,
2004-01,0.375,
2004-04,0.376,
2004-07,0.350,
2004-10,0.357,
2005-01,0.348,
2005-04,0.349,
2005-07,0.361,
2005-10,0.383,
2006-01,0.342,
2006-04,0.372,
2006-07,0.343,
2006-10,0.460,
2007-01,0.393,
2007-04,0.432,
2007-07,0.456,
2007-10,0.460,
2008-01,0.446,
2008-04,0.456,
2008-07,0.528,
2008-10,0.503,
2009-01,0.455,
2009-04,0.408,
2009-07,0.409,
2009-10,0.445,
2010-01,0.433,
2010-04,0.410,
2010-07,0.404,
2010-10,0.478,
2011-01,0.458,
2011-04,0.461,
2011-07,0.447,
2011-10,0.453,
2012-01,0.364,
2012-04,0.356,
2012-07,0.329,
2012-10,0.302,
2013-01,0.289,
2013-04,0.268,
2013-07,0.259,
2013-10,0.345,
2014-01,0.292,
2014-04,0.266,
2014-07,0.228,
