"",BBK01.OEAE05Q,BBK01.OEAE05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:19,
2002-01,1.420,
2002-04,1.409,
2002-07,1.337,
2002-10,1.356,
2003-01,1.341,
2003-04,1.452,
2003-07,1.424,
2003-10,1.440,
2004-01,1.420,
2004-04,1.336,
2004-07,1.299,
2004-10,1.293,
2005-01,1.297,
2005-04,1.363,
2005-07,1.250,
2005-10,1.246,
2006-01,1.243,
2006-04,1.239,
2006-07,1.198,
2006-10,1.182,
2007-01,1.212,
2007-04,1.093,
2007-07,1.044,
2007-10,1.054,
2008-01,1.044,
2008-04,1.087,
2008-07,1.045,
2008-10,1.044,
2009-01,1.045,
2009-04,1.055,
2009-07,1.051,
2009-10,1.049,
2010-01,1.054,
2010-04,1.034,
2010-07,1.017,
2010-10,1.031,
2011-01,1.026,
2011-04,1.009,
2011-07,0.938,
2011-10,0.961,
2012-01,0.992,
2012-04,0.987,
2012-07,0.974,
2012-10,1.041,
2013-01,1.070,
2013-04,1.056,
2013-07,1.031,
2013-10,1.064,
2014-01,1.079,
2014-04,1.062,
2014-07,1.054,
