"",BBK01.OXA8V3,BBK01.OXA8V3_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic self-employed persons (including sole proprietors) during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:54,
2009-12,-,Nothing exists
2010-01,0.681,
2010-02,-,Nothing exists
2010-03,0.048,
2010-04,-,Nothing exists
2010-05,0.038,
2010-06,0.035,
2010-07,-0.001,
2010-08,0.022,
2010-09,0.029,
2010-10,0.234,
2010-11,-0.214,
2010-12,-0.072,
2011-01,-0.026,
2011-02,0.062,
2011-03,0.040,
2011-04,0.026,
2011-05,0.050,
2011-06,0.079,
2011-07,0.050,
2011-08,0.297,
2011-09,0.110,
2011-10,0.158,
2011-11,0.302,
2011-12,0.110,
2012-01,0.132,
2012-02,0.098,
2012-03,0.110,
2012-04,-0.230,
2012-05,0.098,
2012-06,0.084,
2012-07,0.300,
2012-08,0.111,
2012-09,0.074,
2012-10,0.050,
2012-11,0.316,
2012-12,0.103,
2013-01,0.120,
2013-02,0.320,
2013-03,0.067,
2013-04,0.065,
2013-05,0.094,
2013-06,0.717,
2013-07,0.126,
2013-08,0.065,
2013-09,0.053,
2013-10,0.754,
2013-11,0.521,
2013-12,0.061,
2014-01,0.156,
2014-02,0.019,
2014-03,0.075,
2014-04,0.350,
2014-05,0.156,
2014-06,0.065,
2014-07,0.075,
2014-08,0.350,
2014-09,0.471,
2014-10,0.601,
2014-11,0.083,
2014-12,0.051,Provisional value
