"",BBEX3.M.GYD.USD.CA.AB.A01,BBEX3.M.GYD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Guyana / USD 1 = GYD ... (selling),
unit,GYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:42,
1991-01,45.19688,
1991-02,103.19953,comment
1991-03,127.05344,
1991-04,125.04469,
1991-05,124.29141,
1991-06,123.53813,
1991-07,124.04031,
1991-08,120.52500,
1991-09,119.77172,
1991-10,121.52938,
1991-11,122.28266,
1991-12,123.28703,
1992-01,124.29141,
1992-02,124.79359,
1992-03,124.54250,
1992-04,124.54250,
1992-05,125.29578,
1992-06,126.80234,
1992-07,125.79797,
1992-08,125.79797,
1992-09,126.55125,
1992-10,126.55125,
1992-11,126.55125,
1992-12,126.55125,
1993-01,126.55125,
1993-02,126.55125,
1993-03,126.55125,
1993-04,126.55125,
1993-05,126.55125,
1993-06,127.05344,
1993-07,127.30453,
1993-08,126.80234,
1993-09,127.80672,
1993-10,127.55563,
1993-11,129.56438,
1993-12,131.32203,
1994-01,131.07094,
1994-02,131.57313,
1994-03,133.33078,
1994-04,136.59500,
1994-05,141.36578,
1994-06,142.11906,
1994-07,142.62125,
1994-08,141.86797,
1994-09,141.86797,
1994-10,143.12344,
1994-11,143.12344,
1994-12,143.12344,
1995-01,143.37453,
1995-02,143.62563,
1995-03,144.12781,
1995-04,143.87672,
1995-05,144.37891,
1995-06,144.37891,
1995-07,143.12344,
1995-08,140.36141,
1995-09,140.86359,
1995-10,140.11031,
1995-11,140.11031,
1995-12,141.11469,
1996-01,140.86359,
1996-02,140.86359,
1996-03,140.86359,
1996-04,140.86359,
1996-05,140.86359,
1996-06,140.86359,
1996-07,140.86359,
1996-08,140.86359,
1996-09,140.86359,
1996-10,140.86359,
1996-11,141.36578,
1996-12,141.86797,
1997-01,141.86797,
1997-02,142.87234,
1997-03,142.87234,
1997-04,142.87234,
1997-05,143.12344,
1997-06,142.87234,
1997-07,143.37453,
1997-08,143.37453,
1997-09,143.37453,
1997-10,143.12344,
1997-11,143.87672,
1997-12,144.91000,
1998-01,144.88109,
1998-02,145.63438,
1998-03,152.91609,
1998-04,147.14094,
1998-05,146.63875,
1998-06,147.89422,
1998-07,149.90297,
1998-08,150.65625,
1998-09,153.41828,
1998-10,157.68688,
1998-11,163.46203,
1998-12,165.97297,
1999-01,174.76125,
1999-02,178.02547,
1999-03,179.78313,
1999-04,178.02547,
1999-05,177.52328,
1999-06,178.02547,
1999-07,179.28094,
1999-08,180.03422,
1999-09,180.53641,
1999-10,181.28969,
1999-11,181.03859,
1999-12,181.28969,
2000-01,182.29406,
2000-02,182.29406,
2000-03,182.54516,
2000-04,183.04734,
2000-05,182.79625,
2000-06,183.04734,
2000-07,183.04734,
2000-08,182.79625,
2000-09,183.04734,
2000-10,184.55391,
2000-11,185.55828,
2000-12,185.55828,
2001-01,187.06484,
2001-02,187.06484,
2001-03,187.06484,
2001-04,187.31594,
2001-05,187.56703,
2001-06,187.56703,
2001-07,187.56703,
2001-08,187.56703,
2001-09,190.07797,
2001-10,190.58016,
2001-11,190.32906,
2001-12,190.32906,
2002-01,190.58016,
2002-02,191.67688,
2002-03,191.92875,
2002-04,191.92875,
2002-05,191.92875,
2002-06,192.18063,
2002-07,192.68438,
2002-08,192.43250,
2002-09,192.43250,
2002-10,191.42500,
2002-11,193.18813,
2002-12,193.18813,
2003-01,193.18813,
2003-02,193.69188,
2003-03,195.20313,
2003-04,195.20313,
2003-05,193.94375,
2003-06,195.20313,
2003-07,195.45500,
2003-08,195.95875,
2003-09,196.71438,
2003-10,196.71438,
2003-11,197.47000,
2003-12,195.70688,
2004-01,197.47000,
2004-02,197.47000,
2004-03,198.72938,
2004-04,198.72938,
2004-05,199.86078,
2004-06,200.61328,
2004-07,198.08984,
2004-08,201.11797,
2004-09,201.87500,
2004-10,201.87500,
2004-11,201.87500,
2004-12,201.62266,
2005-01,201.62266,
2005-02,201.62266,
2005-03,201.62266,
2005-04,201.87500,
2005-05,201.87500,
2005-06,202.12734,
2005-07,201.37031,
2005-08,201.37031,
2005-09,201.87500,
2005-10,201.62266,
2005-11,201.62266,
2005-12,202.12734,
2006-01,202.13000,
2006-02,202.13000,
2006-03,201.62000,
2006-04,201.88000,
2006-05,201.88000,
2006-06,201.88000,
2006-07,201.88000,
2006-08,201.88000,
2006-09,201.88000,
2006-10,202.63000,
2006-11,202.63000,
2006-12,202.88000,
2007-01,202.63000,
2007-02,202.63000,
2007-03,203.64000,
2007-04,203.64000,
2007-05,203.64000,
2007-06,205.66000,
2007-07,204.90000,
2007-08,205.15000,
2007-09,205.66000,
2007-10,205.16000,
2007-11,204.65000,
2007-12,205.41000,
2008-01,204.65000,
2008-02,204.40000,
2008-03,206.16000,
2008-04,205.91000,
2008-05,205.41000,
2008-06,205.91000,
2008-07,206.16000,
2008-08,206.16000,
2008-09,205.91000,
2008-10,206.42000,
2008-11,205.66000,
2008-12,206.42000,
2009-01,205.66000,
2009-02,206.67000,
2009-03,206.42000,
2009-04,205.16000,
2009-05,205.41000,
2009-06,206.42000,
2009-07,206.42000,
2009-08,205.91000,
2009-09,206.16000,
2009-10,204.90000,
2009-11,206.16000,
2009-12,205.16000,
2010-01,205.41000,
2010-02,205.91000,
2010-03,204.90000,
2010-04,205.16000,
2010-05,205.91000,
2010-06,205.66000,
2010-07,205.42000,
2010-08,206.16000,
2010-09,205.41000,
2010-10,205.91000,
2010-11,204.40000,
2010-12,205.41000,
2011-01,205.91000,
2011-02,206.42000,
2011-03,205.91000,
2011-04,206.42000,
2011-05,205.91000,
2011-06,205.91000,
2011-07,205.66000,
2011-08,206.16000,
2011-09,206.16000,
2011-10,205.91000,
2011-11,206.42000,
2011-12,206.16000,
2012-01,206.42000,
2012-02,206.42000,
2012-03,205.91000,
2012-04,206.92000,
2012-05,205.41000,
2012-06,206.16000,
2012-07,206.42000,
2012-08,206.42000,
2012-09,206.42000,
2012-10,206.16000,
2012-11,206.16000,
2012-12,206.42000,
2013-01,206.67000,
2013-02,206.67000,
2013-03,207.43000,
2013-04,206.92000,
2013-05,207.68000,
2013-06,207.93000,
2013-07,206.92000,
2013-08,207.43000,
2013-09,207.43000,
2013-10,207.43000,
2013-11,207.93000,
2013-12,208.18000,
2014-01,208.44000,
2014-02,207.93000,
2014-03,208.44000,
2014-04,208.44000,
2014-05,208.44000,
2014-06,208.44000,
2014-07,208.44000,
2014-08,208.44000,
2014-09,208.44000,
2014-10,208.44000,
2014-11,208.44000,
2014-12,208.44000,
2015-01,208.44000,
2015-02,208.44000,
"","General: In addition to the official exchange rate, which only applied to sugar trading, revenue from bauxite exports, payments for fuel imports, as well as servicing the public sector`s external debt, there was a free market rate (known as the cambio market rate); however, we did not have any data on these rates. On 30 September 1991, the official exchange rate and the cambio market rate were harmonised.",
"","Source: Bank of Guyana, Georgetown.",
"","Comment on 1991-02: On 21 February 1991, the Guyana dollar was devalued. We recorded the following exchange rates (buying/selling rate).  20.02.91: 1 USD = 44.97188 / 45.19688 GYD  21.02.91: 1 USD = 101.68641 / 102.19516 GYD.  Calculated devaluation: 55.8% (middle rate).",
